ta;;;;;;
Id_Restaurante;Restaurante;Votaciones;Valoracion;new_rating;Dirección;Estado
82;SteakBurger Castellana 89;421;4.9;4.35;Paseo de la Castellana, 89;
83;Pizzeria Fratelli;662;4.7;4.35;Calle Quero, 83-85;
84;La berenjena;911;4.6;4.34;Calle Marqués de Toca, 7;
85;Angelita Madrid;858;4.6;4.34;Calle de la Reina, 4;
86;Casa Lucas;1437;4.5;4.34;Calle de la Cava Baja, 30;
87;Taberna la Concha;1434;4.5;4.34;Calle de la Cava Baja, 7;
88;Vinos de Bellota;895;4.6;4.34;Calle Antonio Acuña, 27;
89;Tapa Tapa Arenal;3836;4.4;4.34;Calle del Arenal, 15;
90;Almalibre Açaí House;388;4.9;4.33;Calle de la Libertad, 17;
91;Vinitus Gran Vía Madrid;841;4.6;4.33;Calle Gran Vía, 4;
92;Gandarío;583;4.7;4.33;Calle de Gaztambide, 28;
93;Matilda;795;4.6;4.33;Calle de Almadén, 15;
94;Arpit;606;4.7;4.33;Calle Maria Tubau, 19;
95;Bacira;1165;4.5;4.32;Calle del Castillo, 16;
96;Purnima Indian Restaurant;1218;4.5;4.32;Calle Goya, 110;
97;Casa Jaguar Madrid;748;4.6;4.32;Calle de los Caños del Peral, 9;
98;WelkhomeClub;448;4.8;4.32;Calle Monte Esquinza, 15;
99;Trattoria Malatesta;2177;4.4;4.31;Calle Colorelos, 5;
100;Restaurante Alabaster;1082;4.5;4.31;Calle Montalbán, 9;
101;The Market Madrid;506;4.7;4.31;;
102;Amicis;1018;4.5;4.31;;
103;Casa Benigna;1027;4.5;4.31;;
104;Tandoori Station;2126;4.4;4.31;;
105;Oven Mozzarella Bernabeu;393;4.8;4.3;;
106;Pizzart Villa Recoletos;389;4.8;4.3;;
107;DokiDOki;913;4.5;4.3;;
108;Taberna del Chato;1755;4.4;4.29;;
109;Bresca Lavapies;844;4.5;4.29;;
110;Miyama;865;4.5;4.29;;
111;Txirimiri Ferraz;861;4.5;4.29;;
112;Miyama Flor Baja;863;4.5;4.29;;
113;Casa Carola;890;4.5;4.29;;
114;Davanti Food & Market;432;4.7;4.29;;
115;Taberna el Arco;1672;4.4;4.29;;
116;Restaurante PAIPÁI;817;4.5;4.28;;
117;El Rincon del Cabo;395;4.7;4.28;;
118;Curry Masala;749;4.5;4.28;;
119;Tampu;788;4.5;4.28;;
120;Mesón Molinero;391;4.7;4.28;;
121;La Carbonera Madrid;403;4.7;4.28;;
122;Sazón-arte;331;4.8;4.28;;
123;Kaiten Sushi Madrid;521;4.6;4.28;;
124;Oliveto;397;4.7;4.28;;
125;Dans Le Noir ?;494;4.6;4.27;;
126;La Descarada;385;4.7;4.27;;
127;Radhuni Indian Restaurant;475;4.6;4.27;;
128;Coque;501;4.6;4.27;;
129;Cervecería La Mayor;476;4.6;4.27;;
130;StreetXO;4919;4.3;4.27;;
131;La Castela;1282;4.4;4.27;;
132;Corral de la Moreria;1208;4.4;4.27;;
133;La Hummuseria;657;4.5;4.26;;
134;El Camoati;618;4.5;4.26;;
135;Brunch Club Cafe;463;4.6;4.26;;
136;Alcaravea Gaztambide;640;4.5;4.26;;
137;Ático Restaurante & Terraza;1147;4.4;4.26;;
138;Valdivieso Cocina Con Alma;441;4.6;4.26;;
139;Restaurante Sal Negra;615;4.5;4.26;;
140;El Rey De Los Tacos;624;4.5;4.26;;
