web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,image,image2,image3,data21,position,image4,image5,image6,image7
1779690386-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d7311563-Reviews-Purnima_Indian_Restaurant-Madrid.html,MUY RICA LA COMIDA.,Prince,"Decoración preciosa, Atención excelente, Ambiente extraordinario, Todo perfecto. Muy satisfecho. ⭐️⭐️⭐️⭐️⭐️","Muy amables por su valoración, nos alegra que haya estado todo perfecto y esperamos volver a verles pronto.",2 contribuciones,2,Escrita el 7 de febrero de 2023,Escrita el 8 de febrero de 2023,2 contribuciones,Grupo Khazuria,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/71/e3/1a/grupokhazuria.jpg?w=100&h=-1&s=1,0.0,,,,,
1779690386-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d7311563-Reviews-Purnima_Indian_Restaurant-Madrid.html,INCREÍBLE EL ARROZ,Adrián R,Todo tiene un sabor increíble! La atención impecable. Más no se puede pedir. Todo lo que pedimos estaba buenísimo.,"Muchas gracias Adri, muy amable por sus palabras. Nos alegramos que haya estado todo impecable, ya sabe que le esperamos cuando quiera.",1 contribución,1,Escrita el 4 de febrero de 2023,Escrita el 7 de febrero de 2023,1 contribución,Grupo Khazuria,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/71/e3/1a/grupokhazuria.jpg?w=100&h=-1&s=1,0.0,,,,,
1779690386-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d7311563-Reviews-Purnima_Indian_Restaurant-Madrid.html,Preciosos decorados y un servicio excelente,Rafael K,Ha sido una de las mejores experiencias gastronómicas que he tenido en mi vida. Ha sido meterme en el restaurante y me sentía como si realmente hubiera viajado a La India. La comida estaba rica y exquisita; pero lo que más ha destacado para mi ha sido sin duda el arroz. Y la atención ha sido de 10. Volvere sin duda,"Buenos días, muchas gracias por compartir su experiencia con nosotros y quieran volver. Ya sabe que les esperamos pronto para seguir probando nuevos platos. ¡Encantados!",2 contribuciones,2,Escrita el 2 de febrero de 2023,Escrita el 3 de febrero de 2023,2 contribuciones,Grupo Khazuria,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/71/e3/1a/grupokhazuria.jpg?w=100&h=-1&s=1,0.0,,,,,
1779690386-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d7311563-Reviews-Purnima_Indian_Restaurant-Madrid.html,Viaje de sabores!!,Ximena K,"Al entrar al restaurante te sorprende el ambiente. Sientes que has viajado a otro país en un sólo paso. Este viaje continúa con la comida, un placer de sabores para el paladar. Y la atención no se queda atrás, cuidan cada detalle con mucha amabilidad para que disfrutes de la experiencia. 
¡Muy recomendable!",Muy amable por su comentario y por recomendarnos. Nos alegra que hayan disfrutado de esta experiencia gastronómica y les esperamos pronto.,1 contribución,1,Escrita el 2 de febrero de 2023,Escrita el 3 de febrero de 2023,1 contribución,Grupo Khazuria,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/71/e3/1a/grupokhazuria.jpg?w=100&h=-1&s=1,0.0,,,,,
1779690386-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d7311563-Reviews-Purnima_Indian_Restaurant-Madrid.html,Excellent,Argha S,"Buena Comida india, con muy buen ambiente familiar,y con Servicio genial 🙂.
Se los recomiendo si quieren explorar nueva gastronomia",Gracias por su comentario y por recomendarnos. Ya sabe que les esperamos cuando quieran para seguir probando nuevos platos.,1 contribución,1,Escrita el 14 de enero de 2023,Escrita el 16 de enero de 2023,1 contribución,Grupo Khazuria,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/71/e3/1a/grupokhazuria.jpg?w=100&h=-1&s=1,0.0,,,,,
1779690386-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d7311563-Reviews-Purnima_Indian_Restaurant-Madrid.html,El mejor restaurante,David,"La atención es excelente, la comida es súper rica y el lugar es perfecto. No veo la hora de regresar","¡Qué bien que hayan podido conocer y disfrutar de esta propuesta gastronómica! Esperamos como dice, volver a verles pronto.",1 contribución,1,Escrita el 14 de enero de 2023,Escrita el 16 de enero de 2023,1 contribución,Grupo Khazuria,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/71/e3/1a/grupokhazuria.jpg?w=100&h=-1&s=1,0.0,,,,,
1779690403-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d7311563-Reviews-Purnima_Indian_Restaurant-Madrid.html,Muy comida India en Madrid.,Adriana M,"La mejor opción de comida India, para explorar las nuevas gastronomía, lo recomiendo y con un buen servicio.",Muy amable por compartir su experiencia con nosotros. Nos alegramos que haya estado todo a su gusto y esperamos volver a verles pronto.,2 contribuciones,Escrita el 14 de enero de 2023,Escrita el 16 de enero de 2023,2 contribuciones,Grupo Khazuria,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/d5/73/48/purnima-indian-restaurant.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,,2.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/71/e3/1a/grupokhazuria.jpg?w=100&h=-1&s=1,,,
1779690403-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d7311563-Reviews-Purnima_Indian_Restaurant-Madrid.html,Excelencia,Raibely P,"Excelente servicio, la comida es muy buena. Es un ambiente muy agradable quede con ganas de regresa.","Muy amable por su comentario, nos alegra que hayan podido disfrutar de esta experiencia. ¡Esperamos volver a verles pronto!",1 contribución,Escrita el 7 de enero de 2023,Escrita el 9 de enero de 2023,1 contribución,Grupo Khazuria,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/71/e3/1a/grupokhazuria.jpg?w=100&h=-1&s=1,,,
1779690403-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d7311563-Reviews-Purnima_Indian_Restaurant-Madrid.html,Mejor restaurante indio de Madrid,Ainara G,"Este restaurante indio pienso que es el mejor de Madrid. La decoración es preciosa y te teletransporta a la India. En cuanto a la comida, está muy rica y elaborada. Mis platos favoritos son la ensalada Purnima, las verduras con salsa de mango. También ponen un entrante con salsas típicas de la India q están riquísimas. Y el postre del mango lassi es casero y natural y está muy bueno. El trato por parte de los camareros es muy bueno y son muy agradables. En definitiva, es una maravilla.","Buenos días, cuánto nos alegra que hayan podido conocer y disfrutar de esta experiencia gastronómica. Sin duda los platos que comenta son especiales, desde aquí les recomendamos el menú degustación o siempre pueden preguntar a los camareros dependiendo de sus gustos y así probar otros nuevos. ¡Les esperamos pronto!",15 contribuciones,Escrita el 6 de enero de 2023,Escrita el 9 de enero de 2023,15 contribuciones,Grupo Khazuria,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,,15.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/71/e3/1a/grupokhazuria.jpg?w=100&h=-1&s=1,,,
1779690403-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d7311563-Reviews-Purnima_Indian_Restaurant-Madrid.html,Indio de referencia en Madrid,Aitor B,"Acudo con frecuencia a este establecimiento. Situado en pleno barrio de Goya, y muy bien comunicado. La decoración esta muy cuidada y es muy acogedora. En lo que respecta a la comida es casera y de muy buena calidad. El trato recibido es excepcional como siempre, muy atentos y pendientes. Sin duda volveré a degustar de nuevo sus platos. Totalmente recomendable.",Muy amable Aitor por su comentario y por recomendarnos. Ya sabe que es siempre bienvenido y cuando quiera. ¡Un saludo!,12 contribuciones,Escrita el 6 de enero de 2023,Escrita el 9 de enero de 2023,12 contribuciones,Grupo Khazuria,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,,12.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/71/e3/1a/grupokhazuria.jpg?w=100&h=-1&s=1,,,
1779690403-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d7311563-Reviews-Purnima_Indian_Restaurant-Madrid.html,La peor experiencia en un restaurant,AGonfre62,"Local de un gran grupo de restauracion en Madrid, en cuyos locales he tenido buenas experiencias previss, pero en este local la atencion fue realmente deplorable. Nuestra reserva era a las 22:30, pero si aceptan comensales a esa hora deben garantizar un trato adecuado por lo menos durante 90 minutos.
Al llegar nos ubicaron en un rincon cerca de la puerta, habiendo muchas mesas libres en el salon del local. Tuvimos que solicitar el menu, los meseros estaban mas preocupados por limpiar y recoger las mesas que por atendernos. Solicitamos agua y una botella de vino para comenzar y nos dejaron las botellas sin abrir y el vino blanco en la mesa sin un cubo para mantenerlo frio. Tuve que abrir las botellas de agua y servir el vino.
El pedido de comida fue rapido y conciso, trajeron los entrantes y se fueron acumulando los platos de servicio con las botellas vacias, tuve que apartarlas para poder seguir comiendo. Por lo menos despues de los entrantes rertiraron todo y pudimos proseguir con los platos principales. A mitad de la comida, habia transcurrido aproximadamrnte 1 hora desde que llegamos, nos dicen que debemos pagar en efectivo por un problema en el punto de venta. Finalmente terminamos apresuradamente la cena, pagamos y nos retiramos con un mal sabor en la boca, atragantados por comer tan rapido y defraudados enormemente por tan mala atencion.
Ademas, la calidad de los platos no fue tan especial como para soslayar semejante afrenta. La peor experiencia que he tenido en restaurant alguno.","Buenos días, lamentamos que su experiencia no haya sido como esperaban. La verdad que no entendemos qué ha podido ocurrir, porque no cuadra con algo de nuestro establecimiento. Si desea puede contactarnos a través de las redes sociales para ver qué ha podido ocurrir. Gracias por compartir esto y veremos qué se puede hacer al respecto. De nuevo, lo sentimos, gracias y feliz año.",463 contribuciones,Escrita el 28 de diciembre de 2022,Escrita el 1 de enero de 2023,"Caracas, Venezuela",Grupo Khazuria,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,Leer más,,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/a1/24/d4/purnima-indian-restaurant.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/03/12/dc/0c/agoncalvesfr.jpg?w=100&h=-1&s=1,,463.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/71/e3/1a/grupokhazuria.jpg?w=100&h=-1&s=1,,,
1779690403-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d7311563-Reviews-Purnima_Indian_Restaurant-Madrid.html,Hay mejores,Pablo A,La verdad que esperaba más de este restaurante pero no fue así! Hay definitivamente mejores restaurantes de comida india en Madrid.,"Buenos días! Lamentamos no haber cumplidos sus expectativas, si puede especifique un poco más sobre su experiencia para entender qué ha podido ocurrir. Lo puede hacer a través de un mensaje por redes sociales o nuestro correo de información que lo encontrará en la propia página web. Gracias.",107 contribuciones,Escrita el 2 de diciembre de 2022,Escrita el 12 de diciembre de 2022,"Barcelona, España",Comunicación,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,Leer más,,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/65/35/83/pablo-a.jpg?w=100&h=-1&s=1,,107.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/82/f3/b5/raquel-l.jpg?w=100&h=-1&s=1,,,
1779690403-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d7311563-Reviews-Purnima_Indian_Restaurant-Madrid.html,DELICIOSO!,Soni,Todo estaba muy muy rico. Y la decoración es espectacular. Cuidan mucho los detalles. Ganas de repetir!,Gracias Sonia por compartir su experiencia. Qué bien que hayan disfrutado de esta experiencia y que quieran repetir. Le esperamos cuando quiera.,9 contribuciones,Escrita el 15 de noviembre de 2022,Escrita el 17 de noviembre de 2022,9 contribuciones,Grupo Khazuria,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,,9.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/71/e3/1a/grupokhazuria.jpg?w=100&h=-1&s=1,,,
1779690403-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d7311563-Reviews-Purnima_Indian_Restaurant-Madrid.html,"Mala, desatenta y grosera era atención de un mesero",Humberto J,"Hoy viernes a las 2:00 PM tuvimos la muy mala fortuna de haber sido atendidos por  un mesero impaciente, grosero y altanero, que hizo que dos experiencias buenas que habíamos tenido en este restaurante, hoy hubiese sido una MUY MALA y DESAGRADABLE experiencia. Con certeza no volveremos, y le presento mis disculpas a todos aquellos que les habíamos recomendado el restaurante.
La buena, educada y amable atención, adicional a la comida, son las condiciones para un buen restaurante. Ante la grosería del mesero, solicitamos que alguien diferente nos atendiera.","Buenos días, lamentamos que esta vez la experiencia no haya sido como esperaban. Valoraremos lo que ha podido ocurrir para ver en qué podemos mejorar sobre este aspecto para que en todo momento el comensal se sienta cómodo. De nuevo, lo sentimos y gracias.",1 contribución,Escrita el 11 de noviembre de 2022,Escrita el 14 de noviembre de 2022,1 contribución,Grupo Khazuria,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,Leer más,,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/71/e3/1a/grupokhazuria.jpg?w=100&h=-1&s=1,,,
1779690403-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d7311563-Reviews-Purnima_Indian_Restaurant-Madrid.html,"Bien cocinado,  bien rico.",Pepe L.,"Muy bien presentado y elaborado. Pedimos las empanadillas de cordero y las vegetales. Deliciosas. Para compartir el tandoori completo,  un lujazo. Nos añadieon un poco de salsa picante,  una gozada. Realicé el pedido a las 14 horas para recoger a las 15 horas,  todo magnífico. Repetiremos.","Buenos días Pepe, muy amable por compartir su experiencia. Nos alegramos que haya estado todo a su gusto tanto el servicio como la comida. Esperamos volver a verle pronto.",1662 contribuciones,Escrita el 23 de octubre de 2022,Escrita el 25 de octubre de 2022,"Madrid, España",Grupo Khazuria,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,Leer más,,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/6f/06/a4/avatar.jpg?w=100&h=-1&s=1,,1662.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/71/e3/1a/grupokhazuria.jpg?w=100&h=-1&s=1,,,
1779690403-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d7311563-Reviews-Purnima_Indian_Restaurant-Madrid.html,No me canso de repetir,Roggo73,"He comido muchas veces en este restaurante, tanto en el local, como pidiendo para llevar. La comida está muy buena, el local es bonito, demasiado juntas las mesas, y el servicio muy correcto. Es una suerte tener un restaurante así cerca de casa.","Buenos días, muy amable por compartir su experiencia con nosotros. Nos alegra saber que disfruta de nuestro restaurante y ya sabe que siempre es bienvenido. De nuevo, gracias.",43 contribuciones,Escrita el 5 de octubre de 2022,Escrita el 6 de octubre de 2022,"Madrid, España",Grupo Khazuria,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,Leer más,,1,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,,43.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/71/e3/1a/grupokhazuria.jpg?w=100&h=-1&s=1,,,
1779690403-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d7311563-Reviews-Purnima_Indian_Restaurant-Madrid.html,PRECIO ALTO-RACIONES MUY ESCASAS,Elmiguelito,"Voy a ser muy breve. 

Comida sin sorpresas en cuanto a sabores, con Currys muy normalitos y comida muy muy plana en sabores. Las raciones son ridículamente pequeñas. 17€ por un plato de Curry de cordero, con 5 trozitos...5 trozitos de cordero es para enfadarse. 

He comido en otros restaurantes Indios infinitamente mejor.....por mucho Chicote que haya de por medio. 

Pagas el local en plena calle Goya, sin más. 

No volveremos.","Buenos días, lamentamos que su experiencia no haya sido como esperaba. Nos extraña porque suelen ser bastante grandes las raciones y no suele haber problema. Respecto al tema precio, a parte de que compramos la mejor calidad posible, valoramos la zona, restaurante y servicio. De todas formas, puede ver los precios con anterioridad en la propia página web. De nuevo, lo sentimos y gracias.",3 contribuciones,Escrita el 11 de septiembre de 2022,Escrita el 12 de septiembre de 2022,3 contribuciones,Grupo Khazuria,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1,,3.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/71/e3/1a/grupokhazuria.jpg?w=100&h=-1&s=1,,,
1779690403-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d7311563-Reviews-Purnima_Indian_Restaurant-Madrid.html,El mejor restaurante hindú de Madrid,Armjo,"Fuimos a cenar con unas amigas y estaba todo riquísimo. Los platos tienen una fusión de sabores que te transportan a la India. Probamos las samosas, las pakora, lamb madras, el naan... Estaba todo espectacular y el trato fue muy agradable.","Buenos días Marcos, gracias por tan buenas palabras. Nos alegramos que haya estado todo a su gusto y hayan disfrutado de esta experiencia gastronómica. ¡Les esperamos pronto!",3 contribuciones,Escrita el 10 de septiembre de 2022,Escrita el 12 de septiembre de 2022,3 contribuciones,Grupo Khazuria,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/bd/a5/e8/purnima-indian-restaurant.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/bd/a6/71/purnima-indian-restaurant.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,,3.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/71/e3/1a/grupokhazuria.jpg?w=100&h=-1&s=1,,,
