web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,position,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,image,image2,data17,data18,image3,data4
1775469983-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Muy recomendable,Manu,"Comida muy rica, a destacar las croquetas, la berenjena y los huevos rotos. La atención fue buena y el local es acogedor. Muy buena relación calidad-precio. Sitio al que hay que ir si estás en el centro de Madrid y quieres comer bien.

Recomendable.",56 contribuciones,Escrita el 3 de enero de 2026,56.0,,,,,,,"Madrid, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/1e/90/51/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/98/87/12/caption.jpg?w=100&h=-1&s=1,,,,
1775469983-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Almuerzo,Arnaldo Junio R,"Ambiente acogedor y con mucho estilo. Los platos estaban muy sabrosos, en su punto. La música ambiental excelente y el trato, maravilloso. ¡Lo recomiendo!",4 contribuciones,Escrita el 3 de enero de 2026,4.0,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,4 contribuciones,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/1e/7f/22/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,,,,
1775469983-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Calidad,Omeris M,"Es mi tercera vez en este lugar y no dejaría de venir. La comida es 20/10 en cuanto calidad- precio como me gusta y adicional el mesero Johan es super amable, y profesional.",1 contribución,Escrita el 23 de diciembre de 2025,1.0,Calidad/precio,Ambiente,Servicio,Comida,,,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,,
1775469983-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Comida impresionante,Naia D,"Es un restaurante pequeño pero muy acogedor. Se come increíblemente bien, los camareros son todos majisimos y además tardan muy poco en traerte la comida.",1 contribución,Escrita el 22 de diciembre de 2025,1.0,Calidad/precio,Ambiente,Servicio,Comida,,,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,,,,
1775469983-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Pregunten por Franco,Ximena Z,La comida está súper rica ! El ambiente increíble y Franco nos ha hecho sentir súper bien atendidas . El local 100% recomendable,12 contribuciones,Escrita el 20 de diciembre de 2025,12.0,,,,,,,"Bogotá, Colombia","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/06/11/e0/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/06/default-avatar-2020-18.jpg?w=100&h=-1&s=1,,,,
1775469967-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Genial,Elizabeth Allys... D,"Genial con Franco súper majo, súper bueno, todo guay",2 contribuciones,Escrita el 17 de enero de 2026,2.0,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,2 contribuciones,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/3a/a9/b2/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,,,,
1775469967-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Boletus <3,Eloria R,"Muy buena experiencia en compañía del mesero Franco.
Todo estuvó muy rico. Muy buen lugar para reír y comer.
Recomendamos las croquetas de boletus 🍄‍🟫
¡Viva Perú!",2 contribuciones,Escrita el 15 de enero de 2026,2.0,Calidad/precio,Ambiente,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,2 contribuciones,,Leer más,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/36/f6/2e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1,,,,
1775469967-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Recomendado,Carolina R,"Fuimos a cenar con mi madre y lo pasamos muy bien. Tienen una buena variedad de tapas, raciones y bebidas. Hay muy buen ambiente, el servicio es muy atento y simpático. Será por eso que siempre hay mucha gente (?) :)",4 contribuciones,Escrita el 14 de enero de 2026,4.0,Calidad/precio,Ambiente,Servicio,Comida,,,4 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,
1775469967-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Almuerzo en Madrid,Nicolas_Burgos,"Excelente comida, todos los platos deliciosos en especial el lomo de ternera. El personal muy atento y amable. El cheesecake muy rico también",12 contribuciones,Escrita el 13 de enero de 2026,12.0,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Bogotá, Colombia",,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,,,,
1775469967-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d2527526-Reviews-Taberna_El_Sur-Madrid.html,Algo pequeño para salir de lo cotidiano,Carola B,El mojito no estaba tan bueno. Pero excelente Atención y buena comida. Igual me gustó cerca de mi hospedaje. Es acogedor para parar y picar algo está perfecto,1 contribución,Escrita el 12 de enero de 2026,1.0,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,,Leer más,0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,,,,
