web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,image,image2,position,image3,image4,image5
1777311167-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,Sorpreson,sol g,"Recomiendo a todos y todas que quieran probar  una  cocina elaborada, exquisita y hecha con cariño  que Vayan a este lugar. Hacia tiempo que no comía  cosas tan originales y tan deliciosas.  El equipo  que lo lleva super agradables, te hacen sentir como si fueras todos los días.  Repetirémos sin lugar  a dudas.",40 contribuciones,40,Escrita el 3 de febrero de 2019,"Madrid, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,,0.0,,,
1777311167-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,Un restaurante que vale la pena visitar,Pedro M,"La comida estupenda, una carta con personalidad propia y un ambiente agradable. 

No dejes de pedir la ensalada caprese y el rodaballo, te comes hasta la raspa,literalmente.",1 contribución,1,Escrita el 4 de enero de 2019,"Madrid, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg?w=100&h=-1&s=1,,0.0,,,
1777311167-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,"muy buen sitio, una verdadera sorpresa",Giancarlo R,"No es un local muy grande y tampoco tiene una carta bíblica, pero sin duda merece la pena ir a probarlo. Hemos tomado una ensalada caprese y unos langostinos de queso, las dos cosas muy muy ricas. El trato del personal muy amable. Volveré.",24 contribuciones,24,Escrita el 31 de diciembre de 2018,Madrid,Calidad/precio,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,,0.0,,,
1777311167-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,Barsa,Flyer826233,Cocina espectacular y servicio impresionante sobre todo txente su encargado por su profesionalidad y simpatía,1 contribución,1,Escrita el 19 de diciembre de 2018,1 contribución,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,,0.0,,,
1777311167-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,Sencillo y con encanto,Abellanolmedo,"Un bar muy sencillo al lado del reina sofia escondido en una callecita solitaria, nos ofrece una cocina tambien sencilla pero abierta de corazon. Platos creativos y con un toque amable. Solemos compartir platos para probar cuantos mas platos mejor. Empezamos pidiendo la caprese que ya es un clásico, unas mini burguers de solomillo espectaculares, los cangrejos y los mejillones de roca...estaba todo espectacular. Para mi ya es uno de mis habituales",8 contribuciones,8,Escrita el 11 de diciembre de 2018,8 contribuciones,Calidad/precio,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,,0.0,,,
1777311167-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,Sorprendentes sabores cerca del Reina Sofia,Alberto G,"Nos los habían recomendado y fue buena la experiencia, esta cerca del Reina Sofía y sorprende por la elaboración de sus platos que a modo de tapas son más que interesantes, en un local clásico pero con mucho rollo",234 contribuciones,234,Escrita el 9 de diciembre de 2018,"Valencia, España",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/41/5d/15/alberto-g.jpg?w=100&h=-1&s=1,,0.0,,,
1777311167-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,Un cocina de altura con precios de bajura,Pepe González Rielo,"Sitio de culto si quieres degustar una cocina hecha con amor y delicadeza a precios excepcionalmente razonables porque no te cuadra la altura de la cocina con el montante de la factura. Las manos de Rebeca hacen ese milagro cada noche con una sonrisa que inunda el local (y eso que no es muy grande). Marta, su socia es el complemento ideal del conjunto Rebeca/Marta o Marta/Rebeca; ""tanto monta, monta tanto"" Sales contento, con ganas de volver y degustar todo aquello que no te atreviste a pedir la primera vez. Se repite siempre.",107 contribuciones,107,Escrita el 7 de noviembre de 2018,"Madrid, España",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/5a/0d/33/pepe-g.jpg?w=100&h=-1&s=1,,0.0,,,
1777311167-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,Delicioso,Eljuanma,"Es un bar muy pequeño, que incluso sólo tiene dos mesas para sentarse, el resto en la barra. Las tapas son espectaculares, merece mucho la pena",67 contribuciones,67,Escrita el 29 de octubre de 2018,"Madrid, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/9a/avatar026.jpg?w=100&h=-1&s=1,,1.0,,,
1777311167-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,Comida deliciosa y un servicio increíble,Diego S,"La Berenjena no va a llamar la atención por su local que es bastante reducido, recordando a las tabernas de la zona, pero sí por su servicio, es el típico local en el que te sientes como en casa según traspasas la puerta y en el que los camareros te hacen sentir como si te conocieran de siempre. Este hecho que parece una obviedad es todo un acierto y es que cada vez existen menos sítios en los que el servicio se preocupe por los comensales como aquí.

Dicho lo cual la comida está bastante bien, probamos unos langostinos rellenos de queso (aconsejados por la camarera que como digo fue un auténtico encanto) y fueron un acierto absoluto, continuamos con unas Gyozas japonesas con pollo de corral que fueron sorprendentes y terminamos con unas mini-hamburguesas que por desgracia sabían más de la cuenta a morcilla (imagino que al usar la misma plancha que otro plato que no habíamos pedido).

Pequeño y acogedor, servicio de 11 y una comida sorprendente, como único pero pondría la salida de humos ya que en la salita que está colindando a la cocina hay cierto olor que puede no ser del gusto de todo el mundo.",613 contribuciones,613,Escrita el 28 de octubre de 2018,"Madrid, España",Calidad/precio,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/c6/6e/37/diego-s.jpg?w=100&h=-1&s=1,,0.0,,,
1777311167-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,Encantador,Galvan100,"Estaba por la capital por motivos laborales en el barrio de Lavapies y buscando dónde cenar acabamos en La berenjena, local pequeño, fuimos entre semana y no reservamos, tapeamos capirotes y cangrejitos , fish & ship y paté, todo muy bueno  buena presentación. y atención muy amable.",4 contribuciones,4,Escrita el 25 de octubre de 2018,"Novelda, España",Calidad/precio,Servicio,Comida,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,,0.0,,,
1777311167-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,Que no se nos olvide,VidaBuena,"Digo esto porque he ido muchas veces y en todas he disfrutado tanto, tanto, que se me olvida recomendarlo. Pues ya es hora de cambiar esto... id si os gusta la comida currada, con gusto, con buenísima atención y con una gran selección de vinos y bebidas premium.... pero esto no es lo mejor, lo mejor es todo.

Una taberna con poquitas mesas pero con mucha barra donde estar cómodo y disfrutar del momento. 

Para seguir y seguir visitando.

Gracias chicas por seguir haciéndolo tan bien.",37 contribuciones,37,Escrita el 15 de octubre de 2018,"Madrid, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1,,0.0,,,
1777311167-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,Que no te engañe el nombre,Viajera_mg,"Cuando un amigo me dijo, he reservado en la Berenjena pensé que le tenia que recordar mis gustos culinarios jaja pues no, los tuvo bastante en cuenta! Carta variada, las raciones que pedimos muy muy sabrosas, nos dejamos guiar por las recomendaciones de la camarera bastante maja ella y la verdad que no falló! Las navajas, las gyozas, la entraña... mmm.. el postre tmb estaba mas que correcto!! Sin duda fue una buena elección, pero solo hay un par de mesas al fondo y no resulta muy acogedor la verdad, aunque es secundario esto",121 contribuciones,121,Escrita el 4 de octubre de 2018,"Madrid, España",Calidad/precio,Servicio,Comida,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/9c/2b/10/marini-gs.jpg?w=100&h=-1&s=1,,0.0,,,
1777311154-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,Descubrimiento,Lola M,"Me habían hablado de este sitio pero no había tenido ocasión de ir. Coincidiendo con unos amigos que cogían el AVE aproveche para visitarlo. Todo muy rico, muy recomendable y el personal encantador. Repetiré",36 contribuciones,36,Escrita el 23 de enero de 2020,"Madrid, España",Calidad/precio,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,,,
1777311154-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,Recomendable,pardo58,"Taberna muy pequeña en la zona de Atocha, dispone de un mini comedor con dos mesas, eso si el servicio de las dos camareras es muy bueno, son super simpáticas y están pendientes de ti todo el tiempo, tomamos unas berenjenas fritas muy ricas, seguidas de unos mejillones correctos y una carne, trozos de entraña ricos. Recomendable, se puede comer también en la barra. Recomendable si estas por la zoana.",1249 contribuciones,1249,Escrita el 28 de diciembre de 2019,"Madrid, España",Calidad/precio,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",1,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/25/34/3d/pardo58.jpg?w=100&h=-1&s=1,,,,
1777311154-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,Reunión amigos,Marta D,"Fantástico servicio, platos originales y muy ricos....la ensalada caprese, deliciosa... Y los precios.... Muy adecuados a la calidad
Volveremos",6 contribuciones,6,Escrita el 16 de diciembre de 2019,6 contribuciones,,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/c0/b0/f0/marta-d.jpg?w=100&h=-1&s=1,,,,
1777311154-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,"Si entregaran cangrejos de concha blanda al cielo, serían de la berenjena",Yael T,"¡Qué joya! Increíble servicio amable con excelentes recomendaciones. Teníamos la ensalada de tomate y buratta, mejillones y cangrejos de concha blanda. La comida fue sin duda la mejor que tuvimos en Madrid!",171 contribuciones,171,Escrita el 8 de diciembre de 2019,"Tenafly, Nueva Jersey",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/3c/21/c2/photo0jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,,,,
1777311154-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,"Decir como en casa es un tópico, pero decir mejor que en casa es una realidad","Andrés Rodríguez ""Pasolargo""","Extraordinario en todos los sentidos, el ambiente relajado y de buen colegueo,la atención mejor que buena por que te tratan como un amigo desde que atraviesas la puerta. Han reabierto recientemente según nos dijo una camarera genial llamada Ana, la comida excelente y originalísima corre a cargo de Quique Rebeca y Marta a cual con mejor rollo. De lo mejor que yo conozco.",272 contribuciones,272,Escrita el 23 de octubre de 2019,"Ronda, España",Calidad/precio,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/d7/bb/cd/andres-r.jpg?w=100&h=-1&s=1,,,,
1777311154-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,Cualquier cosa... un 10,vivysyl,"Puedes pedir cualquier cosa,  todo buenísimo. Ambiente genial. Cocina muy cuidada y hecho todo con cariño. De postre ""Tierra"" FANTÁSTICO.",22 contribuciones,22,Escrita el 19 de agosto de 2019,"Madrid, España",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/da/ec/53/la-berenjena.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/c0/5d/46/external-avatar.jpg?w=100&h=-1&s=1,,,,
1777311154-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,Siempre bien,Marta B,"Nunca defrauda. La ensalada caprese es de lo mejor que he comido en mi vida! Recomiendo también el rodaballo, buenisimo!

Personal muy atento y simpático. Volveremos!",276 contribuciones,276,Escrita el 26 de junio de 2019,"Zaragoza, España",,,,,,,Leer más,,1,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/38/ed/ff/caption.jpg?w=100&h=-1&s=1,,,,
1777311154-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,Un lugar genial y diferente,Davinia B,"Con una magnífica comida (de 10) y un maravilloso personal, te hacen sentir como en casa. Volveremos sin duda.",22 contribuciones,22,Escrita el 8 de junio de 2019,"Madrid, España",,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/01/47/80/davinia-b.jpg?w=100&h=-1&s=1,,,,
1777311154-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,Cena,CARMELA G,"Comida muy rica y diferente, lo mejor la amibilidad de nuestra camarera. Da gusto en este momento q te atienda una persona tan amable y servicial",2 contribuciones,2,Escrita el 22 de mayo de 2019,2 contribuciones,,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/db/2d/09/carmela-g.jpg?w=100&h=-1&s=1,,,,
1777311154-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,Caro,Lauraroslin,"Raciones escasas, el espacio para sentarse a comer es mínimo, dos mesas ridículas donde 2 comen bien pero 4 ya no caben, al lado de la cocina, con gente entrando y saliendo continuamente.
Servicio amable pero leeeeeeeeeento y despistado.",10 contribuciones,10,Escrita el 19 de mayo de 2019,"Madrid, España",,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,,,,
1777311154-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,Como hecho por tu madre,Alicia B,"Para empezar, la camarera que nos atendió era encantadora. A poco la invitamos a sentarse con nosotros. La carta es espectacular, no hay ni un solo plato que pase desapercibido. Los platos pensados y elaborados con mimo. Precio increíble para la calidad de la cocina. Postres de muerte. Un acierto rotundo.",47 contribuciones,47,Escrita el 18 de mayo de 2019,"Madrid, España",,,,,,,Leer más,,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg?w=100&h=-1&s=1,,,,
1777311154-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,Excelente comida y servicio,Kleinmanni,"La comida está espectacular. Ensalada capresse impresionante, gyozas de pollo de corral muy ricas, falso rissotto riquisimo, quizá lo que menos me llamo la atención fueron los platos fuera de carta, uno de ellos era como un parecido al carpaccio pero sin llegar a serlo porque estaba cocinado
El pero, el único, es que la zona para comer es bastante pequeña. El resto, espectacular.",146 contribuciones,146,Escrita el 1 de abril de 2019,"Madrid, España",Calidad/precio,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",1,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,,,,
1777311154-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,Buen sitio para tapear pero no un restaurante,Dgc76,"Comida muy buena, pero no es un restaurante al uso, el servicio es mejorable, ya que tarda mucho en atenderte. Bueno para tapear pero no como restaurante al uso",5 contribuciones,5,Escrita el 17 de marzo de 2019,"Madrid, España",Calidad/precio,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/fe/b8/96/dgc76.jpg?w=100&h=-1&s=1,,,,
1777311154-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,El local no está a la altura de la comida,Lambereteira,"Comida muy rica y bien elaborada. Probamos una ensalada con tomate y trufa, unos dumplings, pollo crujiente y un postre muy bueno con tierra de chocolate. Todo muy rico, pero lo vi un poco caro para la cantidad que ofrecen (precios de 12-14€ por los platos descritos), y sobretodo para el espacio que tienen, que son dos mesas situadas en un espacio de paso que precede a la cocina, además de la barra. 
El personal muy atento y simpático. Me gustó pero dudo que repita.",116 contribuciones,116,Escrita el 25 de febrero de 2019,"Madrid, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/96/0f/e7/photo0jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/ff/42/8f/lambereteira.jpg?w=100&h=-1&s=1,,,,
1777311154-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,Correcto,Raül M,"Busqué un restaurante cercano al hotel y este me salió como el mejor puntuado. Lo cierto es que comí bien. Iba solo así que pedí un par de platos. Berenjenas con salsa de miso y minihamburguesas de solomillo de ternera con un par de cañas. Comí bien pero estoy de acuerdo en que el precio es un poco caro. Apenas hay sitio y te tienes que acomodar, bien en la barra principal o en una de secundaria. Pero el ambiente está bien.",46 contribuciones,46,Escrita el 17 de febrero de 2019,46 contribuciones,Calidad/precio,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,,,,,
