web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,image,image2,position,image3,image4,image5
1777311135-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,Espectacular,Javier E,"Si quieres probar propuestas originales y nuevos sabores, no dudes en ir a este sitio, donde el trato del personal es inmejorable. Todo lo que probamos estaba espectacular, Me quedo con ganas de volver y probar los platos de bacalao.",14 contribuciones,14,Escrita el 9 de mayo de 2021,"Málaga, España",Calidad/precio,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,,,,
1777311135-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,Atención impecable,Marta P,"Una atención muy buena. Dado que tengo un problema de alergias alimentarias, me ofrecieron hacerme toda la comida en sarten a parte para evitar contaminación cruzada (en la mayoría de sitios te dicen que pidas otra cosa y se despreocupan).
La burrata estaba espectacular, el resto de cosas que pedimos también muy buenas.",4 contribuciones,4,Escrita el 9 de agosto de 2020,4 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,,,,
1777311135-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,Chill&fun,Ana,"Este sitio es magnífico! Calidad precio, con terraza y el servicio (Oscar y Mario) magníficos, atentos, rápidos, amables y serviciales. el producto no defrauda. Gracias!",1 contribución,1,Escrita el 8 de julio de 2020,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,,,,
1777311135-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,TODAS LAS MESAS CON PINCHO Y NOSOTROS NO,F4364ZCcristinap,"Fuimos a tomar algo porque vimos las buenas reseñas del lugar y la verdad que nos llevamos una decepción.

Todas las mesas de alrededor tenían unas patatas o cacahuetes y a nosotros no nos pusieron nada...",113 contribuciones,113,Escrita el 28 de junio de 2020,"Oviedo, España",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/78/0f/d3/la-berenjena.jpg?w=300&h=300&s=1,,,,,
1777311135-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,Uno de los mejores restaurantes de Madrid.,montseemm,"Una de las mejores elecciones para ir a comer en Madrid. La comida es de primerísima calidad, las empleadas son muy simpáticas, dispuestas a ayudarte en todo momento. Repetiremos sin duda.",50 contribuciones,50,Escrita el 24 de febrero de 2020,"Sabadell, España",,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/ff/5b/f0/photo0jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,,,,
1777311135-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,Comida buena camarera borde,laia_05,"Fuimos a cenar y la camarera era algo borde . Le pido un vaso de agua no me contesta y se lo vuelvo a pedir y me contesta que ya me había escuchado (pues contesta). Le preguntamos ¿Cómo es la tarta de queso? Y lo único que nos contesta es que viene en una lata (a mí que me importa si viene en un plato, en pizzara o lata. Lo que importa es como se ha preparado ). Los huevos con patatas se pasaron con la sal (no pudimos terminarlos). Nos pregunta la camarera qué tal todo? Le decimos lo de los huevos salados y no creas que tuvo el detalle de decir lo siento (no deberían haber cobrado el plato ya que no comimos casi nada). Croquetas y postres buenos.",6 contribuciones,6,Escrita el 8 de febrero de 2020,"Madrid, España",,,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",2,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,,,,
1777311135-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,Buen rollazo,pedro b,"Pasamos muy buen rato y cenamos estupendamente , despues unos cuantos amigos tomamos unas copas de sobremesa  y la camarera que allí estaba “Rosa” nos puso muy buena música",4 contribuciones,4,Escrita el 2 de febrero de 2020,"Madrid, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,,,,
1777311167-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,Caro,Sandratas,"Éramos dos amigas, fuimos recomendadas, muy optimistas, pero nos decepcionó. Pedimos una botella de vino, 4 tapas y un postre. Respecto a las tapas: la ensalada de tomates, bastante buena, aunque nada del otro mundo; los dumping creo que fue el mejor plato; los langostinos rellenos de queso no estaban mal, y la carrillera, dura, no pudimos terminarla. El postre muy rico. Aún así, lo que realmente nos desagradó fue encontrar 3 pelos en los platos... Finalmente pagamos 82€, un precio desorbitado.",49 contribuciones,49,Escrita el 16 de febrero de 2019,"Tenerife, España",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,,2.0,,,
1777311167-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,Sorprendente,Ismael,"Un bar pequeño, casi sin sitio, acogedor, con una comida excelente y unos precios super asequibles.

Muy recomendable.",4 contribuciones,4,Escrita el 15 de febrero de 2019,"Madrid, España",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/a3/default-avatar-2020-38.jpg?w=100&h=-1&s=1,,0.0,,,
1777311167-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d4795130-Reviews-La_Berenjena-Madrid.html,Una tasca de toda la vida actualizada,Adela Díez,"Acudí a ""La Berenjena"" guiada por las opiniones buscando un sitio chulo para celebrar mi aniversario, pudiendo así reservar mesa en las dos únicas que hay en el local (no nos engañemos, están en la trastienda casi, como puestas a la fuerza). La comida en sí estaba rica, a destacar la ya comentada ensalada de tomate, para mí lo mejor de la noche (cogimos también un surtido de croquetas, muy correcto, algo más que no recuerdo bien y el rodaballo que nos decepcionó un poco). Definitivamente es un lugar para tener en cuenta para acudir con amigos a la hora del vermú y tomar algo en barra pero no en el plan romántico que preveía... Aun así, recomendable :)",107 contribuciones,107,Escrita el 6 de febrero de 2019,"Madrid, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/42/15/55/caption.jpg?w=100&h=-1&s=1,,1.0,,,
