web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,image,image2,image3,image4,image5,image6,image7,image8,image9,data18,image10,image11,image12,image13,image14,image15,data19
1776262590-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d7179537-Reviews-DiverXO-Madrid.html,Tocando el cielo con la lengus,amantedlagastronomia,"Como siempre tocar el cielo. Producto, servicio, técnicas, sabor... sin duda el mejor del mundo. Lo mejor las aves. Pichón codorniz y gallo de corral... sin palabras",99 contribuciones,99.0,Escrita el 12 de septiembre de 2022,"Valladolid, España",2.0,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/ca/02/af/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/ca/02/b0/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/ca/02/b1/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/ca/02/b2/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/ca/02/b3/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/e8/71/ce/amantedlagastronomia.jpg?w=100&h=-1&s=1,,,,,,,,
1776262590-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d7179537-Reviews-DiverXO-Madrid.html,DEMASIADO CARO,Pablo,"Me dijeron que no solo era la comida, sino la experiencia… La experiencia es que los platos estén un poquito más decorados que en otros restaurantes, nada más. 
A pesar de que 365€ por esa “gran experiencia” ya me parece totalmente desorbitado, no os guiéis por esa cifra, ya que no incluye la bebida, que tienen a elegir botellas de vino individuales por 150€/persona o bien un maridaje más completo por 300€/persona, por lo cual pagaréis 515 ó 665 euros cada uno (hay que ahorrar un poquito más de lo que pensabais). 
Por otro lado la comida está rica, cierto, pero comes 28 platos diminutos en un periodo de casi 4 horas (acabas aburrido), por lo que, a pesar de que parezcan muchos platos, tampoco sales con la tripa llena ni mucho menos. He ido otras veces a menús degustación pagando unos 100€ con bebida incluida en los que he salido muchísimo más satisfecho, aunque no vivas en ellos esa “gran experiencia” que caracteriza a Diverxo.
En fin, no volvería nunca a este lugar ni aunque ganase el Euromillones, ya que, por mucho dinero que podáis tener, a nadie le gusta sentirse estafado.
Solo pensad que yendo en pareja vais a pagar 1.330€ de cuenta. Con ese dinero en temporada bajaos vais una semana a Punta Cana a un hotel de 5 estrellas con todo incluido.
¿Qué os merece más la pena? Lo dejo en el aire.",1 contribución,1.0,Escrita el 5 de septiembre de 2022,"Cordovilla, España",13.0,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,,,,,,,,
1776262590-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d7179537-Reviews-DiverXO-Madrid.html,Viaje al más allá de los sentidos,MADRIDEM R,"Tener la suerte de poder reservar mesa en el restaurante bandera de Daviz Muñoz ya es una aventura. Lo conseguimos dos meses antes para una cena inolvidable. Diverxo es otro mundo. Un tres estrellas Michelin para disfrutar de sabores, texturas, aromas, platos que simulan lienzos. Un viaje de sensaciones variadas que llegan incluso a la emoción. Una elaboración de platos que llegan a la mesa cual puesta en escena y a cual más espectacular. Bocados sorprendentes con los que incluso llegas a las lágrimas. 
El servicio es el esperado en esta categoría de restaurante. Nuestra maestra de ceremonias, Gloria, no podría habernos llevado mejor por este recorrido culinario. Los demás profesionales igual. 
Lo malo de esta experiencia: no pudimos terminar el menú degustación. Demasiados platos deliciosas, cantidades quizá que deberíamos haber dosificado, pero cómo? Nos quedó un salado y 3 postres. Una lástima y desde aquí pido perdón al Chef. 
La decoración del local es muy divertida y colorida. Un mundo aparte. Como Muñoz y su equipo. Como su magia gastronómica. Un auténtico placer.",15 contribuciones,15.0,Escrita el 3 de septiembre de 2022,"Madrid, España",1.0,,,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/98/42/fc/diverxo.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/98/43/38/diverxo.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/98/43/49/diverxo.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/98/43/44/diverxo.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/98/43/46/diverxo.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/98/43/52/diverxo.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/98/43/48/diverxo.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg?w=100&h=-1&s=1,,,,,,,,
1776262590-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d7179537-Reviews-DiverXO-Madrid.html,,,,,,,,,Leer ahora,Las 10 mejores escapadas de fin de semana cerca de Londres,"Hay tantas cosas que hacer en Londres que puedes dedicar fácilmente una o dos semanas a tan solo explorar la ciudad. Cuando hayas completado toda tu lista de qué ver y qué hacer en Londres, es hora de descubrir los destinos cercanos que se encuentran a un par de horas de distancia en tren o en avión.",,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/09/a5/14/caption.jpg?w=400&h=400&s=1&cx=1504&cy=1000&chk=v1_44b6442ea249ca4fdbd0,,,,,,,,,,,,,,,,
1776262590-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d7179537-Reviews-DiverXO-Madrid.html,Sensacional,Djeserdjeseru,"Una experiencia muy placentera para los sentidos, cuatro horas de disfrute total de colores, olores, texturas diferentes y sabores deliciosos y muy intensos. El servicio es muy profesional y se ajustó a nuestro ritmo de comida, quiero destacarlo porque nos pareció que debe ser realmente complicado servir con naturalidad tan gran cantidad de platos en diferentes momentos a cada mesa  y estar atentos a todo en un entorno en el que cada paso debe encajar con precisión,  sin hacer esperar demasiado ni adelantarse y por supuesto garantizando que los platos llegan a la mesa en condiciones óptimas de temperatura.   
Por ponerle un pero, los vinos están sobrepasadísimos de precio  y las copas sueltas son muy poco generosas.",89 contribuciones,89.0,Escrita el 27 de agosto de 2022,"Madrid, España",1.0,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,,,,,,
1776262590-16,https://www.tripadvisor.es/Restaurant_Review-g187514-d7179537-Reviews-DiverXO-Madrid.html,Respeto a los clientes Daviz..?,Catalandevil,"cerrado pero tanto aquí como en Google no aparece, tampoco en su web

bueno recuerda, elmexito es efimero y se deben respetar a los clientes.....",344 contribuciones,344.0,Escrita el 20 de agosto de 2022,"Girona, España",2.0,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,,,,,,,,
1776262590-17,https://www.tripadvisor.es/Restaurant_Review-g187514-d7179537-Reviews-DiverXO-Madrid.html,"No es solo una cena, es una ""experiencia""",Jose L G,"Que sí, que sí ¿lo primero lo del precio? Para mi una experiencia, más que una cena, que ha quedado en nuestra memoria al ser algo único y distinto (llámalo gourmet, alta cocina, snob,  famoseo, moda..).  Me ha merecido la pena, da igual que me gaste una pasta en un restaurante o en irme a Santorini un fin de semana si lo he disfrutado. No pondero solo si ""lo comido"" vale lo que pagué, si no el entorno, la originalidad, la propuesta en cada plato, descubrir nuevos sabores y elaboraciones, risas y comentarios por estar en un sitio tan de marketing, el permitirme decir que no me gusta eso que ha hecho Daviz, el saber que no volveré (salvo que me toque la lotería), el sentirme partícipe de la historia de un sitio icónico y poder contarlo...yo que sé, para mí esta es es la experiencia. 
Decoración muy divertida, personal super atento y amable sin caer en lo superficial, profesionales. 
Mesa para dos, cata de vinos (sí, sí, otra pasta más), con un comentario de un vino determinado para cada plato  (unos más acertados que otros desde nuestro poco ilustrado conocimiento de enología).  Y llega la cena, una pasada de platos (¿18?, no recuerdo bien, imposible pasar hambre), propuestas diferentes,  sorprendentes, algunos artísticos. Mucho sabor oriental,  algunos no me gustaron, los que más me encantaron... y todo bien maridado  y con explicación erudita. Expectación a la llegada de cada plato, comentario de cada uno con mi pareja. Única pega, postres sin chocolate (un pecado). Velada perfecta",15 contribuciones,15.0,Escrita el 27 de julio de 2022,"Madrid, España",2.0,,,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/98/avatar024.jpg?w=100&h=-1&s=1,,,,,,,,
1776262590-18,https://www.tripadvisor.es/Restaurant_Review-g187514-d7179537-Reviews-DiverXO-Madrid.html,Sorprende,Raquel S,"Había ido cuando tenía 2 estrellas, pero la verdad es que si merece la tercera.
Desde el inicio hasta el final, no se le puede buscar ningún defecto. Todo de 10.
Esperamos poder volver pronto",4 contribuciones,4.0,Escrita el 15 de julio de 2022,"A Coruña, España",1.0,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,,,,,,,,
1776262576-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d7179537-Reviews-DiverXO-Madrid.html,Sin lugar a dudas el mejor 3 estrellas Michelin de España y un futuro mejor resturante del mundo.,Alberto M,"La cena se desarrollo de manera impresionante, servicio cercano, risueño, agradable, de los que puedes coger confianza  soltar chascarrilos, te hacen sentir como en casa.

Respecto a  la comida, un 10 absoluto, todos los platos estan muy arriba, no falla ni un pase, desde salados hasta postres (en otros estrellas michelin tienen la tendencia por innovar, ""cagarla"" en los postres, ya que a veces son incluso amargos, y cuando esperas un postre, lo quieres dulce!!!)

Tuvieron el detalle de sacar una tarta a mi esposa por su cumpleaños que la hizo mucha ilusion. 

Imposible destacar un plato, en otros sitios es sencillo de destacar 2-3 pero es que aqui son todos de 10.

PD: El único deseo es que nos hubiera encantado conocer a Dabiz, creíamos por entrevistas pasadas que siempre estaba en Diverxo dirigiendo la orquesta (imagino que eran tiempos pasados).

La pregunta típica.  ¿Merece la pena pagarlo? Para mi si.......son 4 horas de autentico disfrute, ya que consiguen que se hagan cortas, con un servicio de top mundial y que te hacen sentir que eres el Rey de España.

( Por ponerlo en perspectiva, las entradas del partido de Champions Real Madrid- Manchester City oscilaban entre 130 a 450 euros )

PD: Como unico ""PERO"" y esto si que puede dar lugar a que alguno piense que ""me la estan clavando"", nos cobraron 7 euros por una coca-cola zero, igual que digo que el menu, lo vale los 365 €, cobrar 7 euros por una coca cola que no tiene ningún valor añadido y que el bar de enfrente lo tienes  por 3 euros, pues.........No obstante, no es un sitio para todos los bolsillos, eso es cierto. Pero una vez al año no hace daño",130 contribuciones,130.0,Escrita el 5 de junio de 2023,0,"Madrid, España",Calidad/precio,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/63/b9/74/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/63/b9/73/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/63/b9/75/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/63/b9/76/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/63/b9/77/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/63/b9/78/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/63/b9/79/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/63/b9/80/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/63/b9/7a/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/63/b9/7c/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/63/b9/7d/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/63/b9/7e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/63/b9/7f/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/63/b9/72/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/b2/68/0c/albertoml86.jpg?w=100&h=-1&s=1,
1776262576-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d7179537-Reviews-DiverXO-Madrid.html,Lo mismo da que da lo mismo.,alejandro s,"Caro y Escaso
Si te vas a Mercadona y compras una Viena y un blister de Jamón, te llenará más y la conciencia tranquila de haber gastado lo justo y no 600€ por un menú (Que da dolor de barriga)",13 contribuciones,13.0,Escrita el 26 de abril de 2023,3,13 contribuciones,Calidad/precio,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,,,,,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,
