web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,position,image,image2,image3,image4,image5,image6,image7,image8,image9,image10,data17,image11,image12,image13,data18,data19
1777309766-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d11905394-Reviews-Kuoco_360_food-Madrid.html,Para recomendar,Asu,"Tomamos el menú degustación por probar variedad de sus platos, fusiones muy bien acertadas, el local tiene su encanto y el personal transmite muy buen rollo",91 contribuciones,91,Escrita el 15 de octubre de 2021,"Madrid, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0.0,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/20/0b/92/3b/kuoco.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/20/0b/92/3f/kuoco.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/20/0b/d3/ee/asuncionm435.jpg?w=100&h=-1&s=1,,,,,,
1777309766-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d11905394-Reviews-Kuoco_360_food-Madrid.html,Uno de los mejores restaurantes de madrid,Jesús,"La comida es excepcional, y siempre con platos fuera de carta para completar. La atención por parte de los camareros inmejorable. Sin duda uno de los mejores restaurantes de Madrid.",3 contribuciones,3,Escrita el 27 de septiembre de 2021,3 contribuciones,,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg?w=100&h=-1&s=1,,,,,,
1777309766-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d11905394-Reviews-Kuoco_360_food-Madrid.html,Placer para el paladar,ANA B,"Un local pequeño en el que tomar platos arriesgados, con intenso sabor y con un servicio exquisito por parte de todo el personal. El postre de mango buenísimo!!!",3940 contribuciones,3940,Escrita el 18 de septiembre de 2021,"Almería, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/fb/4a/2a/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/fb/4a/2b/caption.jpg?w=300&h=300&s=1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/fb/4a/2c/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/fb/4a/28/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/fb/4a/29/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/bd/96/57/caption.jpg?w=100&h=-1&s=1,,,,,,
1777309766-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d11905394-Reviews-Kuoco_360_food-Madrid.html,La segunda vez mejoró la primera,aiborra,"Lo diré claro: mi restaurante favorito ahora mismo en Madrid. No hay peros. Los cócteles son muy buenos, los platos suculentos, el servicio excelente, Siempre me sorprenden. Calidad precio es muy bueno. Con vino ( arriesga que no te equivocarás, atención a los vinos canarios) suele estar por 160€ pero para ir en momentos especiales, vale la pena.",17 contribuciones,17,Escrita el 5 de septiembre de 2021,"Madrid, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/cd/79/d6/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/cd/79/dc/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/cd/79/d7/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/cd/79/d9/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/cd/79/da/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/cd/79/d8/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/cd/79/db/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/cd/79/d4/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/cd/79/d5/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,,,,,,
1777309766-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d11905394-Reviews-Kuoco_360_food-Madrid.html,Un 10 en todo. Explosión de sabores,Alicia Martínez,"Que pasada de sabores, picantes y al mínimo detalle explicado y en su cocina!

Pedimos varios platos a compartir:

- PLATANO BRÛLÉE    de postre, que es un MUST.
- WONTON CRUJIENTE   
pastor meloso, mojito de piña picoso, cilantro y lima. Comenzamos con esto.
- PULPO TIKKA   
mojo indio, tikka-masala, coliflor frita
- CROQUETA PEKÍN    mi FAV!!!!! 
- Pulpo 
- PATO BARBARIE AL WOK   

Acompañado de un vino blanco y un Pisco picante.

El lugar es cómodo, en una calle peatonal y escondido, pero muy top!!! 
Lo recomiendo 100%!!!",3432 contribuciones,3432,Escrita el 2 de septiembre de 2021,"Madrid, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,1.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/c6/96/19/caption.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/c6/96/1a/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/c6/96/1c/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/c6/96/1d/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/c6/96/1b/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/c6/96/1e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/c6/96/17/caption.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/c6/96/18/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/36/a8/4e/23-alicia.jpg?w=100&h=-1&s=1,,,,,,
1777309745-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d11905394-Reviews-Kuoco_360_food-Madrid.html,Riquísimo,Guillermo Álvarez,"Nos dejamos guiar por las recomendaciones del personal y acertaron de lleno, tanto en la comida como en los cócteles. Deseando repetir!",16 contribuciones,16,Escrita el 15 de septiembre de 2022,16 contribuciones,Calidad/precio,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,,,,,,,,,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/f4/61/e6/88guille88.jpg?w=100&h=-1&s=1,,,,
1777309745-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d11905394-Reviews-Kuoco_360_food-Madrid.html,CARTA ENGAÑOSA EN LOS VINOS Y COMIDA CON MUCHO CILANTRO,vevis24,"La comida estaba muy buena,los sabores espectaculares aunque muy cargada de cilantro!
La camarera que te ofrece los vinos debería dar un curso de atención al cliente.Tienen en la carta de vinos un vino de Tomelloso (Ciudad Real) de bodegas verum y mienten a los clientes en la carta diciendo que es de Toledo…segun ellos porque Ciudad Real no lo conoce nadie!Impresionante la incultura y me parece feo que engañen a los clientes así!",25 contribuciones,25,Escrita el 11 de septiembre de 2022,"Ciudad Real, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/c4/8c/c5/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/c4/8c/c6/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/c4/8c/c7/caption.jpg?w=300&h=300&s=1,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,,,,
1777309745-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d11905394-Reviews-Kuoco_360_food-Madrid.html,Me sorprendió,Teresa P,"Estuvimos el sábado comiendo 5 personas, realmente nos sorprendieron los sabores, nos dejamos aconsejar y el resultado fue una agradabilísima degustación. Todo estuvo espectacular, platos variados y en su justa medida. Sin duda lo recomendaría y probablemente repita. El mejor para mi la tartaletita de gamba, pero vamos que todo estuvo muy rico",1 contribución,1,Escrita el 30 de agosto de 2022,1 contribución,Calidad/precio,Servicio,Comida,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,,,,,,,,,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,
1777309745-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d11905394-Reviews-Kuoco_360_food-Madrid.html,Amazing experience,Anna V,"Sólo puedo decir que de principio a fin la experiencia fue de primera, el staff, la atención, la comida. Todo increíble, debería haber más lugares así. Una noche como pocas, háganse el favor y vayan a probar, precios SÚPER buenos",15 contribuciones,15,Escrita el 29 de agosto de 2022,15 contribuciones,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/76/38/4b/kuoco-360-food.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/76/38/4c/kuoco-360-food.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/76/38/4e/kuoco-360-food.jpg?w=300&h=300&s=1,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/bb/default-avatar-2020-65.jpg?w=100&h=-1&s=1,,,,
1777309745-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d11905394-Reviews-Kuoco_360_food-Madrid.html,Cena degustación,María,"Nos decantamos por el menú degustación, fueron varios pases, modo tapa los primeros, quedamos llenos pero no a reventar, lo cual es valorable para bien
La mayoría llevaban un toque de pique
A destacar por nuestro gusto personal, la croqueta y la endibia con bonito
Nos decantamos por una botella de vino blanco, copa de tinto y cócteles para cerrar la experiencia
Resaltamos la atención de Celeste con nosotros y todas sus recomendaciones",261 contribuciones,261,Escrita el 7 de agosto de 2022,España,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/1e/3f/63/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/1e/3f/64/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/1e/3f/65/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/1e/3f/66/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/1e/3f/61/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/1e/3f/62/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/1e/3f/5d/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/1e/3f/5e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/1e/3f/5f/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/1e/3f/60/caption.jpg?w=300&h=300&s=1,0,,,,,
