web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,image,image2,data16,data17,image3,data18,data19,data20,data21,image4
1776265858-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d9832154-Reviews-Everest_Tandoori_Nepali_Indian_Restaurant-Madrid.html,Deri rambro cha,Germán Y,"En estos tiempos que corren,con tanta desgracia e incertidumbre es un verdadero privilegio encontrar un pequeño pedacito de Nepal, un oasis entre tanto desierto de desconcierto.
No es sorpresa, mas es de nuestro menester, resaltar el elevado pero razonable precio de este regalo que nos ha dado la vida.

PD: ¡Que suerte la nuestra!
PD 2: Es importante resaltar que no hemos sido coaccionados para relatar esta historia.",2 contribuciones,2.0,Escrita el 6 de febrero de 2021,2 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/9d/4c/54/everest-tandoori-nepali.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,0,,,,
1776265858-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d9832154-Reviews-Everest_Tandoori_Nepali_Indian_Restaurant-Madrid.html,"Increíble 
Fuimos por recomendación",SMM,"Increíble 
Fuimos por recomendación y salimos encantados. Al no tener mucha experiencia nos recomendó el camarero y acertó 100% 
No pueden irse sin probar el pollo tikka masala (o como se escriba ) 🤔",8 contribuciones,8.0,Escrita el 5 de febrero de 2021,"Madrid, España",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/12/31/5e/caption.jpg?w=100&h=-1&s=1,Leer más,,,2,,,,
1776265858-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d9832154-Reviews-Everest_Tandoori_Nepali_Indian_Restaurant-Madrid.html,Uno de los mejores restaurantes,Arturo C,"Uno de los mejores restaurantes indios en Madrid. La comida está deliciosa y la gente es muy amable. De lo mejor que encontraréis de este tipo de cocina, que recuerda bastante a la comida de India.",2 contribuciones,2.0,Escrita el 9 de diciembre de 2020,"Madrid, España",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg?w=100&h=-1&s=1,Leer más,,,0,,,,
1776265858-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d9832154-Reviews-Everest_Tandoori_Nepali_Indian_Restaurant-Madrid.html,De los mejores restaurantes Nepalíes de Madrid,Lucía B,"No es la primera vez ni la última que comeremos en este restaurante:buen servicio, mejor comida!! El sitio está muy ambientado y el servicio es excelente, gente muy amable.",1 contribución,1.0,Escrita el 19 de noviembre de 2020,"Madrid, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,0,,,,
1776265858-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d9832154-Reviews-Everest_Tandoori_Nepali_Indian_Restaurant-Madrid.html,Para repetir,Peito-D,"Muy buen restaurante hindú-nepalí. Carta muy variada dada al amplitud de los acompañamientos y condimentos, raciones suficientes, buen servicio. Precio muy razonable (cenamos 5 personas por menos de 80 euros)",277 contribuciones,277.0,Escrita el 14 de octubre de 2020,España,Calidad/precio,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,1,,,,
1776265858-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d9832154-Reviews-Everest_Tandoori_Nepali_Indian_Restaurant-Madrid.html,No nos hemos quedado. No distancia suficiente,Anipeich,Nos hemos acercado para cenar animados por los comentarios y porque tienen terraza. Nos hemos ido porque las mesas de dos personas de la terraza ni por asomo estaban lo suficientemente separadas...,23 contribuciones,23.0,Escrita el 28 de agosto de 2020,"Madrid, España",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/0f/07/08/anipeich.jpg?w=100&h=-1&s=1,Leer más,,,2,,,,
1776265858-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d9832154-Reviews-Everest_Tandoori_Nepali_Indian_Restaurant-Madrid.html,Agradable sorpresa,Dani,"Me recomendaron este restaurante, ubicado en El Barrio de Hortaleza y merece la pena acercarse.
Los camareros rápidos y muy simpáticos, la comida riquísima y en buenas cantidades, ¡Delicioso el cordero tika! 
Los precios medios para cenar fuera en Madrid, en torno 20 euros por comensal.
Si vas en temporada de verano tienen una terraza súper agradable con buena distancia entre las mesas.",7 contribuciones,7.0,Escrita el 20 de agosto de 2020,"Comunidad de Madrid, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/ca/fd/34/dani-kb1.jpg?w=100&h=-1&s=1,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,0,,,,
1776265858-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d9832154-Reviews-Everest_Tandoori_Nepali_Indian_Restaurant-Madrid.html,Han perdido un cliente más...,SpanishCoupleMadrid,"En mi opinión han bajado el nivel con lo  que la relación calidad precio ya no es óptima. Ya he acudido en varias ocasiones y así lo he ido notando.

Por otro lado en estos momentos es importante conocer la normativa respecto al covid 19 y en este restaurante no lo conocen,anteponiendo la opinión de un cliente extranjero (venezolano en este caso) respecto a la mía en cuanto a la normativa del tabaco en las terrazas. La disculpa a posteriori no sirve de nada al darse cuenta del error al enseñarle la normativa oficial que todavía no estaba en vigor.

Conmigo habéis perdido un cliente así que seguir así.",6 contribuciones,6.0,Escrita el 17 de agosto de 2020,Madrid,Calidad/precio,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,1,,,,
1776265858-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d9832154-Reviews-Everest_Tandoori_Nepali_Indian_Restaurant-Madrid.html,Excelente Nepali,JEF Martinez,"Ya es mi restaurante de cabecera para comida india (nepali). Muy agradable y buena comida. Tiene un menú del día entre semana muy bueno, abundante y barato.",1 contribución,1.0,Escrita el 2 de julio de 2020,1 contribución,Calidad/precio,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,0,,,,
1776265858-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d9832154-Reviews-Everest_Tandoori_Nepali_Indian_Restaurant-Madrid.html,Buen sitio y... contrastado !,Daniel D,"Ya en su momento lo probamos mi mujer y yo por nuestra cuenta y recomendamos por el boca a boca y nos pareció un buen lugar donde pagar lo correcto por una buena cocina y buena atención. Hasta ahí perfecto. Pero luego se lo recomendé a un compañero de trabajo que es de Mombay y se acercó a probarlo y me confirmó que,efectivamente, es uno de los mejores restaurantes indios (y en este caso con cocina nepalí) que hay en Madrid. Es cierto que el local no es lujoso pero.. ¿qué mas da si te reciben y te tratan de maravilla y comes comida auténtica del pais?. Hemos vuelto varias veces con mas gente y seguiremos acudiendo y recomendándolo.",4 contribuciones,4.0,Escrita el 17 de junio de 2020,"Madrid, España",Calidad/precio,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/39/6c/7f/daniel-d.jpg?w=100&h=-1&s=1,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,0,,,,
1776265858-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d9832154-Reviews-Everest_Tandoori_Nepali_Indian_Restaurant-Madrid.html,Restaurante Indio de enorme calidad,Javier del Portillo,"Un fantástico restaurante indio. Un pequeño gran secreto en Hortaleza. Deliciosos curry, pollo, cordero y nuestra debilidad: los garbanzos.
El trato es siempre fantástico y el servicio muy bueno.
Un gran plan para hacer en familia.",1 contribución,1.0,Escrita el 31 de mayo de 2020,"Madrid, España",,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,0,,,,
1776265846-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d9832154-Reviews-Everest_Tandoori_Nepali_Indian_Restaurant-Madrid.html,Simplemente perfecto,Javi F,"He ido varias veces, y siempre salgo muy satisfecho con el trato, con la comida. Muy recomendable. El local es correcto.",23 contribuciones,23.0,Escrita el 26 de octubre de 2022,"Provincia de Barcelona, España",Servicio,Comida,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1
1776265846-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d9832154-Reviews-Everest_Tandoori_Nepali_Indian_Restaurant-Madrid.html,Siempre perfecto,Lolafox1,"Siempre son muy atentos, la atención es rápida y muy eficiente, simpáticos y amables. En tofo momento tienen en cuenta tus gustos y te aconsejan muy bien a la hora de elegir los platos. He ido barias veces y seguiré llenado por el buen trato y el riquísimo sabor de todos sus platos. Lo recomiendo al 100x100",130 contribuciones,130.0,Escrita el 22 de octubre de 2022,"Madrid, España",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/a4/ab/35/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/a4/ab/36/caption.jpg?w=300&h=300&s=1,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/a4/ab/34/caption.jpg?w=300&h=300&s=1,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1
1776265846-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d9832154-Reviews-Everest_Tandoori_Nepali_Indian_Restaurant-Madrid.html,Cena con amigos,Camper829785,"Un sitio estupendo para cenar muy buena calidad y muy buen precio buenísimo servicio y seguro que repetiremos.

Muchas gracias por todo.",18 contribuciones,18.0,Escrita el 13 de octubre de 2022,"Las Palmas de Gran Canaria, España",,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/7f/b6/6d/everest-tandoori-nepali.jpg?w=300&h=300&s=1,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1
1776265846-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d9832154-Reviews-Everest_Tandoori_Nepali_Indian_Restaurant-Madrid.html,Excelente comida y atención,izurborn,Nos encanta este sitio y volvemos con frecuencia. Sus platos y postres son todos riquísimos! La terraza es estupenda y aceptan mascotas.,3 contribuciones,3.0,Escrita el 30 de junio de 2022,"Madrid, España",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,,,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1
1776265846-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d9832154-Reviews-Everest_Tandoori_Nepali_Indian_Restaurant-Madrid.html,Sorprendente,hortensia,"Restaurante con comida adecuada a nuestros paladares.
Dos tipos diferentes de arroces,uno especialmente bueno,cordeno guisado,frutas heladas muy naturales.
Muy agradables.
Precios ajustados",128 contribuciones,128.0,Escrita el 30 de junio de 2022,"Lugo, España",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,,,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1
1776265846-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d9832154-Reviews-Everest_Tandoori_Nepali_Indian_Restaurant-Madrid.html,Volveremos,Ainarasoyyo A,"Fuimos ayer tres personas y nos encantó la experiencia. La comida estaba muy buena, pedimos Panner pakora (queso rebozado harina garbanzos), everest aloo (patatas), chana masala (garbanzos), kasmari rice (arroz, frutos secos, coco), mix vegetable curry, peshwari naan (pan relleno frutos secos y coco) y chicken masala (pollo con salsa roja picante) Además, probamos chupitos de Khukri, un licor nepalí. Los camareros eran muy amables y el precio perfecto. Alargamos la sobremesa y en ningún momento nos hicieron sentir incómodas, todo lo contrario. Las tres hemos decidido que repetiremos sin duda alguna, y además lo vamos a recomendar.",36 contribuciones,36.0,Escrita el 7 de marzo de 2022,"Alcobendas, España",Calidad/precio,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/5b/55/88/buenisimo-todo.jpg?w=300&h=300&s=1,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/a3/8c/5a/ainarasoyyo.jpg?w=100&h=-1&s=1
1776265846-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d9832154-Reviews-Everest_Tandoori_Nepali_Indian_Restaurant-Madrid.html,¡Para repetir!,BFM,Estaba todo delicioso. Muy buena atención y raciones abundantes. Personalmente me quedo con el Everest Lamb Sekuwa con un poquito de limón... para chuparse los dedos.,2935 contribuciones,2935.0,Escrita el 3 de marzo de 2022,"Madrid, España",Calidad/precio,Servicio,Comida,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/4b/37/f8/bebidas-la-cerveza-nepali.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/4b/38/26/everest-steam-momo-rellenas.jpg?w=300&h=300&s=1,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/4b/37/b8/servicio.jpg?w=300&h=300&s=1,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/de/6d/23/barbara-f-m-7.jpg?w=100&h=-1&s=1
1776265846-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d9832154-Reviews-Everest_Tandoori_Nepali_Indian_Restaurant-Madrid.html,Experiencia de sabores y colores,Ana Fuentelsaz,"Experiencia de colores y sabores. Pedimos varios platos, acompañados de arroz y todos buenísimos, en especial Prawn jalfrezi picante, super bueno. También pedimos pan de queso, muy bueno, pero para dos se hace pesado. En general, perfecto",704 contribuciones,704.0,Escrita el 5 de febrero de 2022,"Gines, España",,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/04/37/e6/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/04/37/e7/caption.jpg?w=300&h=300&s=1,,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/04/37/e5/caption.jpg?w=300&h=300&s=1,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/8e/27/5a/anafuent.jpg?w=100&h=-1&s=1
1776265846-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d9832154-Reviews-Everest_Tandoori_Nepali_Indian_Restaurant-Madrid.html,Muy buen Nepali en Madrid,Mr. Vegano,"Muy buena opción para probar comida Nepali-Indu en el barrio de Canillas. Muy buena cerveza nepali, chicken tikka massala realmente bueno, también un cordero muy bueno acompañado de gran arroz y pan de ajo. De postre helado de pistacho muy bueno",195 contribuciones,195.0,Escrita el 24 de enero de 2022,"Oviedo, España",Calidad/precio,Servicio,Comida,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/e1/b4/76/lletricu.jpg?w=100&h=-1&s=1
1776265846-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d9832154-Reviews-Everest_Tandoori_Nepali_Indian_Restaurant-Madrid.html,Delicioso,Nuria R,"Servicio excelente, buena cantidad y calidad. Para vegetarianos tienen bastante variedad , las lentejas estaban deliciosas. Cerveza nepali muy rica. Un 10, lo recomiendo totalmente.",8 contribuciones,8.0,Escrita el 3 de enero de 2022,"Northampton, Reino Unido",,,,,,,Leer más,,,,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1
1776265846-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d9832154-Reviews-Everest_Tandoori_Nepali_Indian_Restaurant-Madrid.html,Buena opción para comida indu,Gastón F,"Muy buenos platos, buena calidad y buen precio , además buena atención.
Los platos son abundantes y muy bien hechos. Volveremos.",4 contribuciones,4.0,Escrita el 29 de diciembre de 2021,"Madrid, España",,,,,,,Leer más,,,,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/59/default-avatar-2020-24.jpg?w=100&h=-1&s=1
1776265846-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d9832154-Reviews-Everest_Tandoori_Nepali_Indian_Restaurant-Madrid.html,Cuidado con el COVID,Eleonora P,"Si bien se entiende que ya estemos un poco más relajados, por el tema vacunas, y la “disminución” del COVID, no se puede dejar de lado la desinfección de las mesas, y la distancia social, en nuestro caso, una mesa de dos personas, estaba casi pegada literalmente, a las de la pareja de al lado. No puedo ni pensar en calificar la comida, que estaba bastante bien, cuando me atienden sin las normas básicas y sin mascarillas.El servicio MUY lento.",4 contribuciones,4.0,Escrita el 7 de septiembre de 2021,4 contribuciones,Calidad/precio,Servicio,Comida,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg?w=100&h=-1&s=1
1776265846-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d9832154-Reviews-Everest_Tandoori_Nepali_Indian_Restaurant-Madrid.html,Repetiré hasta probar toda la carta,RubenXXIV,"Comida llena de sabor, impresionante chicken tikka massala y Everest lamb secua.
Lugar para repetir hasta probar toda la carta.",51 contribuciones,51.0,Escrita el 20 de agosto de 2021,51 contribuciones,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/a2/9a/a6/caption.jpg?w=300&h=300&s=1,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/05/9f/07/caption.jpg?w=100&h=-1&s=1
1776265846-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d9832154-Reviews-Everest_Tandoori_Nepali_Indian_Restaurant-Madrid.html,A disfrutar!,María L,"Estuve allí cenando con unas amigas y nos gustó mucho. De hecho, una de ellas vive en los alrededores y va mucho allí a cenar o comer.
Pedimos chicken butter (riquísimo), tandoori chicken, naan de queso (casi parecen pizzas de lo grandes que son, jaja) y arroz de limón. Cantidad más que suficiente para 3. También pedimos un lassie de mango que estaba muy bueno.
Sin duda volveré!",224 contribuciones,224.0,Escrita el 3 de agosto de 2021,224 contribuciones,Calidad/precio,Servicio,Comida,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1
