web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,position,data14,image,data15,data16,data17,data18,data19,image2,name
1775584421-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Buen frío el sábado por la tarde,Yihao P,"Muy bonita azotea con una hermosa vista de la ciudad, cosas bonitas especialmente Laura, ella es tan dulce y atento, nos lo pasamos genial aquí!",1 contribución,Escrita el 26 de octubre de 2024,oct 2024 • Amigos,Calidad/precio,Ambiente,Servicio,Comida,1 contribución,,Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,,,,,,,
1775584421-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Reseña azotea forus barcelo,Adriana Isabel R,"Es un buen sitio para venir acompañada de tus amigas, pareja, familia y tomarte un vinito. Aún que haga algo de frío están preparados con estufas que crean un ambiente acogedor. Un buen servicio de parte de los camareros y en especial de Laura que te atiende con una sonrisa.",1 contribución,Escrita el 26 de octubre de 2024,oct 2024 • Amigos,,,,,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/0a/default-avatar-2020-35.jpg?w=100&h=-1&s=1,,,,,,,
1775584382-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,"Azotea con gran ambiente, comida y bebidas.",Daniel K,"Solo una experiencia maravillosa para disfrutar de Madrid y todo su espectacular esplendor. Gran vibra, cena maravillosa y feliz de haber estado aquí. Vale la pena venir aquí si puedes.",,218 contribuciones,218,Escrita el 21 de octubre de 2025,Metro New Jersey,,Mostrar original,Ambiente,Servicio,Calidad/precio,,Comida,https://dynamic-media-cdn.tripadvisor.com/media/photo-l/01/2a/fd/9b/avatar.jpg?w=100&h=-1&s=1,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0.0,,
1775584382-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Terraza estupenda y servicio profesional,Isabel R,"La terraza estupenda y muy bonita. El servicio de camareros/as del evento muy profesionales y muy simpáticos, eso sí la encargada Joana, decepcionante y con un trato vejatorio y con muy mala educación hacia los empleados.",,3 contribuciones,3,Escrita el 10 de octubre de 2025,Madrid,El trato de los camareros/as fue genial.,,Ambiente,Servicio,Calidad/precio,,Comida,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,
1775584382-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Precioso lugar,David P,"Lugar tranquilo, Para compartí con familia e amigos 
Buen ambiente
A buenos precios con buena calidad de caridad en sus carta 
Buena Atención! 
gracias a Yohanna",,1 contribución,1,Escrita el 25 de septiembre de 2025,1 contribución,,,Ambiente,Servicio,Calidad/precio,,Comida,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,
1775584382-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,La comida estupenda,Kendry P,"Excelente experiencia en la azotea desde la atención de la camarera Nicole que es bastante agradable y siempre con una sonrisa te hace sentir muy a gusto 
La comida y el ambiente están fenomenal sin duda volveremos",,2 contribuciones,2,Escrita el 20 de agosto de 2025,2 contribuciones,Nada que mejorar,,Ambiente,Servicio,Calidad/precio,,Comida,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,0.0,,
1775584382-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Atención del personal.,Ana Belen G,"Excelente servicio en este día de domingo. Gracias en particular a Melissa, que nos atendió con total amabilidad. Saludos.",,1 contribución,1,Escrita el 17 de agosto de 2025,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,,,,Leer más,0.0,,
1775584382-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Vistas increíbles,Lauren Tyler,"Una visita obligada cuando en Madrid! Increíbles vistas de la ciudad , gran ambiente veraniego, comida fantástica y ningún lugar mejor para disfrutar de un soleado vino español",,148 contribuciones,148,Escrita el 21 de julio de 2025,"Worthing, Reino Unido",,Mostrar original,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/32/7d/0e/26/caption.jpg?w=100&h=-1&s=1,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Traducido automáticamente,,Leer más,0.0,,
1775584382-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,"Precio de ""Azotea"", experiencia decepcionante",faq1972,"No es correcto vender una experiencia ""azotea"" y que la mesa que te asignan (habiendo hecho reserva previa) sea una mesita redonda pequeña pegada a la barra del bar donde la ""azotea"" queda lejos y a tus espaldas. La calidad de la comida y el servicio fueron muy correctos, pero el precio y la ubicación fueron muy decepcionantes. Además, no es un lugar fácil de encontrar ni está correctamente señalizado.",,145 contribuciones,145,Escrita el 29 de junio de 2025,Bilbao,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/39/fa/cd/faq1972.jpg?w=100&h=-1&s=1,,,,Leer más,0.0,,
1775584382-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Bebe no comas,Yenon H,"Gran vista y personal amable 
No es buena comida
La comida era internacional y no es lo mejor , la comida local ok pero los otros platos como el guacamole y las papas no era bueno 

Para la bebida de la noche está bien",,136 contribuciones,136,Escrita el 3 de junio de 2025,"Tel Aviv, Israel",,Mostrar original,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,,Traducido automáticamente,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,
1775584382-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,10,LuciaScara,"Increíble todo!!! Leo y Yanet los números 1 buen lugar buen ambiente, hacía frío y nos trajeron csloventor. Gran antecioon",,4 contribuciones,4,Escrita el 9 de mayo de 2025,4 contribuciones,,,Ambiente,Servicio,Calidad/precio,,Comida,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,
1775584382-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,GENIAL,alberto alejand... m,"Todo super bien. Genial. Rico. Ha sido una experiencia increíble, inolvidable y gratificante. Buen servicio. Repetiremos",,1 contribución,1,Escrita el 20 de marzo de 2025,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,,Leer más,0.0,,
1775584382-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Brunch en azotea muy recomendable,Leyre G,"El brunch muy bueno, muy completo y buen precio. El servicio muy bien también. Especial mención a nuestra camarera Dacaris, muy buena atención y muy agradable.",,3 contribuciones,3,Escrita el 9 de febrero de 2025,3 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,,,,,Leer más,0.0,,
1775584382-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,"Ambiente agradable, atención nefasta",Montse M,"Escribo aquí la opinión que Google no me publica. Ayer llegué a las 16,40, me dirigí a la barra y me dijeron que venían a la mesa, esperé sin problemas ya que se estaba fenomenal. El camarero llegó a las 16.55 le pedimos 2 cafés y nos contesta q no hay cafés,  le señalamos las mesas de alrededor tomando café y nos dice q a partir de las 5 no sirven café,  le decimos q aún no son las 5 y nos dice q sí y que no hay café. No creo que vuelva.  Y  me gustaría saber la razón por la que Google bloquea mi opinión.",,8 contribuciones,8,Escrita el 12 de enero de 2025,8 contribuciones,,,,,Servicio,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg?w=100&h=-1&s=1,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,
1775584382-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Agradable desayunar en la terraza,JOSE MIGUEL G,"Restaurante situado en la azotea del Mercado Barceló, con una agradable vista. Servicio atento, variedad de desayuno y platos bien elaborados",,291 contribuciones,291,Escrita el 2 de enero de 2025,"Barcelona, España",,,Ambiente,Servicio,Calidad/precio,,Comida,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/10/default-avatar-2020-8.jpg?w=100&h=-1&s=1,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,
1775584382-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Cena,Natalia A,"Muy buen servicio. Laura, nuestra camarera, un amor, muy buen servicio. Terraza preciosa y buena comida, muy atenta, rapidos",,1 contribución,1,Escrita el 20 de diciembre de 2024,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,,,,Leer más,0.0,,
1775584382-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Buenos momentos,Facundo A,Muy buen sitio y excelente calidad de bebidas. Nos ha atendido Laura quien ha sido muy amable y el servicio en general ha sido muy bueno. Volveremos la próxima semana.,,1 contribución,1,Escrita el 13 de diciembre de 2024,1 contribución,,,Ambiente,Servicio,Calidad/precio,,Comida,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/23/default-avatar-2020-28.jpg?w=100&h=-1&s=1,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0.0,,
1775584412-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Laura es una crack,Cruiser20491457787,"Muy buen sitio, destacando el servicio por parte de laura, nos trató genial, y las copas a un precio Justo para una azotea con buenas vistas.",,Escrita el 30 de noviembre de 2024,2 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,2.0,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/3d/92/cf/caption.jpg?w=300&h=300&s=1,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,
1775584412-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Increíble,Javier Y,"Una buen sitio donde tomar un vino, sobre todo por la atención al cliente gracias a Bárbara. Muy contento, repetiría más veces",,Escrita el 23 de noviembre de 2024,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,1.0,Leer más,,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,
1775584412-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Genial,Marina Q,"Barbara es la mejor!
Hemos venido un grupo de amigos a tomar algo y nos lo hemos pasado genial.
Muy buen servicio y tiempo de calidad.",,Escrita el 23 de noviembre de 2024,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,1.0,Leer más,,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,
1775584412-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Excelente,Mario D,"este sitio es genial para compartir momentos con amigos y bebidas, barbara ha sido una camarera atenta y excelente que ha hecho de la estancia un sitio comodo",,Escrita el 23 de noviembre de 2024,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,1.0,Leer más,,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,
1775584412-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Buena,Darmary M,"El lugar muy acogedor, la atención de Laura genial, muy amable y muy maja! Excelente para un plan en familia o amigos, lo nachos genial",,Escrita el 21 de noviembre de 2024,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,1.0,Leer más,,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,
1775584412-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Muy buena atención,Juan jose F,"Muy bueno con la atención de Laura, muy maja y atenta. Lo recomiendo para venir en familia y compartir. Los tragos muy buenos y los nachos con guacamoles son genial",,Escrita el 21 de noviembre de 2024,1 contribución,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,1.0,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/2d/17/d4/caption.jpg?w=300&h=300&s=1,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,
1775584412-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Excelente trabajo de Laura,Rafael Samir R,Maravilloso ambiente y excelente atención. Laura super maja y muy atenta. Volveremos  sin ninguna duda . Un lugar donde pasar una tarde agradable,,Escrita el 21 de noviembre de 2024,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,1.0,Leer más,,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,
1775584412-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Muy buena,Eileen B,"Una atención muy especial compartí con mi familia, nos atendió una chica muy maja llamada Laura. Sin duda alguna volveríamos",,Escrita el 21 de noviembre de 2024,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,1.0,Leer más,,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,
1775584412-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Grest Service,Brandon M,"Andrea era un anfitrión fantástico! todo era increíble y el servicio era genial. No puedo esperar a volver 

La comida también era genial!",,Escrita el 20 de noviembre de 2024,1 contribución,,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1.0,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/2c/22/bb/caption.jpg?w=300&h=300&s=1,0,,,,,,
1775584412-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Brunch entre plantas,Maider,"Una localización en el centro de la ciudad con una terraza al sol. Un entorno decorado por plantas con música relajante y un brunch exquisito.

Nos hemos tomado unos huevos Benedict con una mimosa y el kit de frutas, muesli y tostadas.",,Escrita el 17 de noviembre de 2024,3 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",3.0,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/25/ae/9f/caption.jpg?w=300&h=300&s=1,0,,,,,,
1775584412-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Excelente atención,Marglys B,"me encantó el lugar, está súper lindo y una excelente atención de parte de Bárbara Silva, una chica muy amable y atenta!!",,Escrita el 16 de noviembre de 2024,1 contribución,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,1.0,Leer más,,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/d5/default-avatar-2020-17.jpg?w=100&h=-1&s=1,
1775584412-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Excelente,Marta D,"Terraza súper acogedora. El trato de Barbara fue excelente, gracias a ella volveremos :) Esta vez fuimos a tomar el aperitivo pero otro día volveremos sin duda a comer.",,Escrita el 16 de noviembre de 2024,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,1.0,Leer más,,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,
1775584412-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Estuvimos pasando una mañana estupenda con unas vistas increibles. La atención fenomenal.,Claudia S,"Estuvimos pasando una mañana estupenda con unas vistas increibles. La atención fenomenal, Bárbara fue muy simpática. Repetiremos!!",,Escrita el 16 de noviembre de 2024,2 contribuciones,Calidad/precio,Ambiente,Servicio,Comida,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",2.0,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/23/e2/82/caption.jpg?w=300&h=300&s=1,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,
1775584412-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Todo genial,Ana G,"Un sitio muy agradable, perfecto para un picoteo por la mañana antes de comer. A destacar la excelente atención de Bárbara",,Escrita el 16 de noviembre de 2024,4 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,4.0,Leer más,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/23/e2/bf/caption.jpg?w=300&h=300&s=1,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,
1775584412-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,🥳🥳🥳🥳,FarAway17179582128,Excelente lugar para reunirte con tus amigos para cenar y tomarte unas copas. La noche fue perfecta por Laura y Barbara que nos atendieron genial 🎉🎂🍷🥂🍲🥳,,Escrita el 13 de noviembre de 2024,1 contribución,Calidad/precio,Ambiente,Servicio,Comida,Excelente opción para quedar con tus amigos para un cumpleaños,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1.0,Leer más,,0,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,
1775584399-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,TERRAZÓN,Anás K,"El trato fue la ostia, el servicio muy rápido y Laura la verdad que nos dio una atención de primera a parte de que esta en el centro de Madrid y a la lado de todo el ambiente nocturno de Madrid 👌",,Escrita el 13 de diciembre de 2024,2 contribuciones,,Leer más,0,,,,,2.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,,,,,,,España
1775584399-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Muy buena terraza,Guide776687,Muy buena terraza y buen ambiente. La camarera Laura muy profesional y agradable. Planazo para un viernes. 🥂🥂🥂🥂🥂🥂,,Escrita el 13 de diciembre de 2024,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,1.0,,,,,,,,,1 contribución
1775584399-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Terrazon,Ignacio G,"El sitio excelente, con buenas vibras y los camareros muy simpáticos en especial Laura. Experiencia recomendable a todos los usuarios.",,Escrita el 13 de diciembre de 2024,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,,,,,,,1 contribución
1775584399-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Fiasco,marta R,"Tenia una reserva confirmada el.dia 11/12/24 a las 21h. Cuando llegamos alli habia una fiesta de empresa, el local estaba diafano, sin mesas, sucio y aun con personas de.la fiesta. Nos dijeron que nos montaban una mesa. Se quedaria usted en un local sucio desangelado, sin nadie, cenando mientras los empleados.intentan limpiar y recomponer el lugar? Es una verguenza que me aceptasen la reserva sin avisarme de la situacion. He ido muchas veces, somos habituales de hecho. Pero ya no volveremos. Pusieron a sus empleados en una situación incómoda. Es una falta de respeto al cliente y a sus empleados. Esto rectifica mi opinión anterior.",,Escrita el 12 de diciembre de 2024,14 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,14.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,,,,,,"Madrid, España"
1775584399-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Laura,Artur B,"Una experiencia espectacular con excelente proporcionado por la camarera Laura ,muy profesional y dedicada a su trabajo",,Escrita el 7 de diciembre de 2024,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/eb/default-avatar-2020-27.jpg?w=100&h=-1&s=1,,,,,,,1 contribución
1775584399-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Laura,Marina M,"Laura nuestra camarera, nos atendió excelente, fue muy educada con todos, muy atenta y tuvimos muy buen servicio. Gracias.",,Escrita el 7 de diciembre de 2024,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,1.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,,,,,,1 contribución
1775584399-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Laura,Marina S,"Muy buen ambiente en esta azotea, y sobre todo muy bien atendidos por Laura, muy atenta y no nos faltó de nada en ningún momento.",,Escrita el 7 de diciembre de 2024,1 contribución,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,0,,,,,1.0,,,,,,,,,1 contribución
