web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,position,data14,image,data15,data16,data17,data18,data19,image2,name
1775584444-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,10/10,Alma J,Super buen lugar! Buenos tragos y entrados super recomendado!! Nuestra servidora fue atenta e inigualable.Definitivamente volvere,sept 2024 • Amigos,1 contribución,Escrita el 18 de septiembre de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,,,,,,,
1775584444-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Recién,ANGIE TATIANA C,"La atención espectacular, los cócteles wow, la comida deliciosa y el lugar  increíble, súper recomendado. No duden en venir",sept 2024 • Amigos,1 contribución,Escrita el 18 de septiembre de 2024,Calidad/precio,Ambiente,Servicio,Comida,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,,,,,,,
1775584434-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Repetiremos,Lucía M,"Fuimos a tomar algo por la tarde y nos encantó!! terraza super bonita, precios asequibles y la camarera (Laura) un encanto. Repetiremos👏🏼",,1 contribución,Escrita el 26 de octubre de 2024,Calidad/precio,Ambiente,Servicio,Comida,,1 contribución,Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,,,,,,,
1775584434-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Servicio de 10,HANIEL P,Servicio estupendo! Personal súper amable y atento. Lugar muy cuidado y limpio. Volveremos seguro! Muy recomendado!,,1 contribución,Escrita el 26 de octubre de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,,,,
1775584434-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Hebual,Victoria R,"Gebial esta suoer bien gran servicio y todo el mundo super simpatico.

Muy recomendable.

Lo rexomiendo para ir con amigos",,2 contribuciones,Escrita el 26 de octubre de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",2 contribuciones,Leer más,2.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,,,,,,,
1775584434-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Todo genial!,Andrea P,"Es una azotea muy acogedora, hay música ambiente que te permite hablar y además Bea nos atendió genial y es muy simpática!",,2 contribuciones,Escrita el 26 de octubre de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",2 contribuciones,Leer más,2.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,,,,,,,
1775584434-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Son muy majas,Gloria A,"Laura nos ha atendido de una manera muy cordial y estupenda, ha estado al tanto de la mesa y es muy maja.El sitio muy chulo 100% recomendado para venir con tus amigos, familia o simplemente solo.",,1 contribución,Escrita el 26 de octubre de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Madrid, España",Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,,,,,,,
1775584434-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Siempre agusto,Jacobo C,"El lugar, la comida, los cócteles, ¡todo espectacular! La relación calidad-precio es muy buena para ser el centro de Madrid, y siempre salgo encantado con el servicio, muy simpático y agradable siempre. Dar gracias a Laura por su atención!",,6 contribuciones,Escrita el 25 de octubre de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",6 contribuciones,Leer más,6.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/bd/39/f3/caption.jpg?w=100&h=-1&s=1,,,,,,,
1775584434-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Cada vez mejor.,Atihc C,"Cada vez que vengo a este sitio, me voy con mejor sensación. Hoy he ido a cenar con mi familia, y hemos probado la ensalada de remolacha (buenísima) y el humus. Los postres también están muy ricos, y las camareras majísimas, Laura tan atenta como siempre. Lo recomiendo encarecidamente!",,4 contribuciones,Escrita el 24 de octubre de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",4 contribuciones,Leer más,4.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,,,,,,,
1775584434-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d10730339-Reviews-Azotea_Forus_Barcelo-Madrid.html,Servicio de 10,Raquel L,"Lugar espectacular para tomar algo con familia y amigos ,nos atendió Barbara, estuvo muy atenta y un servicio de 10.
Repetiremos",,1 contribución,Escrita el 24 de octubre de 2024,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",1 contribución,Leer más,1.0,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/e3/default-avatar-2020-59.jpg?w=100&h=-1&s=1,,,,,,,
