web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,image,image2,image3,data15,data16,data17,data18,data19,position,data20
1776265531-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,Enjoy!,adriana r,"Muy rica comida y la atención súper bien! Las empanadas y las tostas muy recomendadas. 
El precio también es bastante accesible.",1 contribución,1,Escrita el 27 de septiembre de 2019,1 contribución,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,2,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,,,,,,,
1776265531-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,Eso no se hace...,Cristina M,"Vaya por delante que las empanadas están muy ricas, y la tosta de solomillo. El vino caliente, imperdonable en un local con ese nombre al que teóricamente vas a disfrutar justo de eso y un picoteo. Mi puntuación negativa es por un detalle feísimo: aparte del trato distante y seco del camarero (no es la primera vez, somos del barrio y ya hemos ido alguna vez al local), esta vez al pedir unas copas de Ribera sin especificar cuál e ir a pagar (una cuenta final de 30€) nos damos cuenta de que nos han puesto, ¡qué casualidad!, el más caro de la carta. Qué tontería señores, el de 3€ frente al de 2.8€. Que digo yo, que si no hemos especificado, ante la duda o consultas al cliente (¿sabéis que tenemos dos, os da igual?) o le pones el barato (como hacen en casi todos los bares del barrio). Quizás es un local de ambiente-cliente extranjero y estas triquiñuelas les resultan habituales, pero a nosotros jugando en casa, nos sienta como un tiro. Porque ni quiero que me vacilen a mi, ni quiero que en mi barrio ni en mi ciudad un local le haga eso tampoco a un extranjero. Así que, tendrán empanadas y tostas muy ricas, pero de trato al cliente tienen un cero y por ganarse unos centimillos ruines han perdido clientes habituales de la zona. Muy feo.",166 contribuciones,166,Escrita el 14 de septiembre de 2019,"Madrid, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,1,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,,,,,,,
1776265531-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,Agradable,Bego,"Fuimos mi hermana y yo a comer por recomendación de TripAdvisor. 
Es pequeño, acogedor, pero hacía mucho calor, no había aire acondicionado, tenían una especie de ventilador que básicamente movía el calor. 
Respecto a la comida, pedimos una ensalada de queso de cabra, aceptable. Además de eso, una empanada de queso y cebolla, rica, sabía como a pizza, y también una tosta de pollo al curry, que fue lo que nos sorprendió, nos encantó. Compartimos los 3 platos entre las dos y acabamos genial, era lo justo para no quedarse con hambre ni llenarse.",101 contribuciones,101,Escrita el 4 de septiembre de 2019,"Madrid, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/1f/13/4d/20190821-153258-largejpg.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/1f/13/4e/20190821-152010-largejpg.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/1f/19/8a/avatar.jpg?w=100&h=-1&s=1,,,,,,,
1776265531-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,Falta de profesionalidad,Alwarom,"El sitio no es que no merezca la pena, es que no se lo recomiendo ni a mi peor enemigo. 
Llegamos a las 11 de la noche y hacia un calor terrible. Tenían un aire acondicionado portátil en la puerta que marcaba 31 un grados pero eso no fue lo peor. Camareros tomando cerveza en la barra que no atendían a las 5 mesas que tiene el local. Llevaban cosas a mesas equivocadas y recalco, son 5 mesas... Llevar un cafe a una persona que le acabas de servir una pizza... ¿vas borracho o es que no eres profesional? 
Una tosta 30 min de espera. Una pizza otros 30 min (con el local medio vacío). La calidad de la comida regular tirando a mal. Lo peor es ver cómo otras mesa que llegaron más tarde fueron servidas antes que a nosotros. Luego te preguntan si quieres algo más de beber, les dices que no y se llevan tu cerveza que estaba por la mitad.
Un desastre de sitio con una falta de profesionalidad importante.",89 contribuciones,89,Escrita el 1 de septiembre de 2019,"Madrid, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/dc/34/30/alvaro-r.jpg?w=100&h=-1&s=1,,,,,,,
1776265531-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,Tostas espectaculares!,jajajaime,Un sitio muy especial. La pizza diavola exquisita pero lo más sorprendente fueron las tostas! Buena relación calidad precio.,8 contribuciones,8,Escrita el 31 de agosto de 2019,"Madrid, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",2,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,,,,,,,
1776265516-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,Brillante,Miguel G,"Muy buena atención, las empanadas y las pizzas impresionantes, el local muy bonito y la selección musical muy acertada. Más que recomendable este pequeño local en el corazón del Barrio de las Letras.
Además tienen Estrella de Galicia, que más se puede pedir 😊",1 contribución,Escrita el 26 de julio de 2020,1 contribución,1,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,3,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,,,,,,,,,
1776265516-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,ESPECTACULAR!!!,Pilar M,"De los mejores locales del Barrio de las Letras. Empanadas argentinas, ensaladas, pizzas, tostas, croquetas, raciones... mucha calidad y cariño. Precio inmejorable. Ideal para grupos: carta muy variada. Trato familiar y acogedor.",1 contribución,Escrita el 26 de julio de 2020,1 contribución,1,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg?w=100&h=-1&s=1,,,,,,,,,
1776265516-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,Me encanta!,Daniela Q,El restaurante es muy bonito y la comida está genial. Los dueños son super gentiles. Lo recomiendo a todo el mundo!,3 contribuciones,Escrita el 24 de julio de 2020,"Barcelona, España",3,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",3,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/e6/default-avatar-2020-45.jpg?w=100&h=-1&s=1,,,,,,,,,
1776265516-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,Un restaurante para repetir,Juanjo C,Un restaurante con muy buen ambiente y la comida muy buena y variada. Las tostas muy ricas y a destacar la de pollo al curry. Seguro repetimos.,34 contribuciones,Escrita el 23 de julio de 2020,"Madrid, España",34,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",3,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/01/ec/38/d0/juanjofamily.jpg?w=100&h=-1&s=1,,,,,,,,,
1776265516-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,Una comida impresionante !!,chouzaseijo,Atención impresionante y una comida buenísima !! No dejéis de   Probar la empanada de ternera y cualquiera de sus pizzas !! Todo buenísimo,3 contribuciones,Escrita el 23 de julio de 2020,"Madrid, España",3,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,,,,,,,,,
1776265516-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,Impresionante comida !,chouzaseijo,Impresionante comida ! A parte de un trato exquisito ! No os arrepentiréis de comer la empanada de Ternera !!,3 contribuciones,Escrita el 23 de julio de 2020,"Madrid, España",3,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,,,,,,,,,
1776265516-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,Para recomendar,Mariano,"Paseando por el barrio de las Letras(calle San Pedro) con mi pareja, la semana pasada descubrimos un sitio más que recomendable para comer. Local moderno, fresco, con un trato súper amable y la comida nos encantó. A mi en particular me ha gustado mucho la tosta de solomillo con queso brie...una delicia!
Y como entrantes las empanadas argentinas con todo su sabor. Volveremos sin dudas.",2 contribuciones,Escrita el 20 de julio de 2020,2 contribuciones,2,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,3,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,,,,,,,,,
1776265516-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,Impresionante cena,Paco O,"Un sitio acogedor.  Las empanadas buenísimas y la tosta de solomillo impresionante. Servicio muy bueno, y agradable",3 contribuciones,Escrita el 20 de julio de 2020,3 contribuciones,3,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,,,,,,,
1776265516-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,Empanadas de lujo,Renzo d,Después de tiempo vuelvo a Madrid  y me paso s disfrutar de laa empanadas.pizas y tostas y todo sigue igual de bueno y la atención espectacular recomendado para probarlo,3 contribuciones,Escrita el 16 de julio de 2020,"Madrid, España",3,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,,,,,,,,,
1776265516-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,Pésimo sitio para no volver,Juan Ángel,"Pésimo , el dueño es una persona prepotente y maleducada . La comida y el ambiente muy normal . No nos quisieron cobrar con tarjeta y tuvimos que ir a un cajero a buscar efectivo ,un desastre de comida",1 contribución,Escrita el 27 de junio de 2020,1 contribución,1,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/b2/default-avatar-2020-69.jpg?w=100&h=-1&s=1,,,,,,,,,
1776265516-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,Fenomenal,anónimo,"Interesante y buena comida.Buenas recomendaciones de vino.Calidez en el bar y buena,prudente atención al cliente.Sigan con esta cocina!",20 contribuciones,Escrita el 9 de febrero de 2020,"Tarragona, España",20,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/2b/default-avatar-2020-39.jpg?w=100&h=-1&s=1,,,,,,,,,
1776265516-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,Hicimos reserva en el pequeño y nos llevaron al grande,fonso22,"Llamé con días de antelación y cuando llegamos al local estaba lleno. Nos acompañaron al otro restaurante que tienen cerca sin previo aviso. El menú es igual y también el servicio, todo correcto pero no era el lugar donde queríamos estar. D",11 contribuciones,Escrita el 1 de febrero de 2020,"Madrid, España",11,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/af/bf/b6/fonso22.jpg?w=100&h=-1&s=1,,,,,,,,,
1776265516-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,Bien situado,Aurelio A,"Sorprende que a dos minutos de la estación de Atocha ofrezcan buenos pinchos, con excelente materia prima a buen precio.",11 contribuciones,Escrita el 16 de enero de 2020,"Madrid, España",11,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,2,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,,,,,,,,
1776265516-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,Bestial!,pablo6815,"Pasan los años...pero nunca demejora.
Calidad/precio muy muy bien, comimos entre cuatro, 4 empanadas mixtas,1 pizza de atún con queso azul, una ensalada para compartir, y dos tostas de solomillo ”espectaculares"" y salimos bien satisfechos! Pero qué bien.
Pasa el tiempo,y todo sigue igual. Gracias!",3 contribuciones,Escrita el 13 de enero de 2020,"Madrid, España",3,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,2,,,,,,,,,,
1776265516-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,"Bien, pero......",Rubén G,"Buena relación calidad precio. Para comer tostadas, empanadillas y pizzas. Extremadamente pequeño, muy incómodo y hemos salido con un olor a fritanga para echar toda la ropa a lavar y meternos a la bañera de cabeza. Tienen evidentes problemas de extraccion de humos.",11 contribuciones,Escrita el 12 de enero de 2020,"Albacete, España",11,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/11/default-avatar-2020-41.jpg?w=100&h=-1&s=1,,,,,,,,,
1776265502-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,Comida riquisima y precios muy buenos!,TomMontagnani,"Yo y otros 4 amig@s hemos estado cenando qui. Llamé por la mañana para reservar un par de mesas en la terraza y la verdad estuvimos muy a gusto. La comida estay muy rica, se nota la calidad, muy buenas sobre todos las tostas de solomillo y la de salmon con aguacate! En general bebimos y comimos mucho, incluso quizas demasiado jaja. Al final pagamos 16 euros cada uno que, por lo que pedimos, està tirado!

Volveré sin duda!",66 contribuciones,66,Escrita el 3 de octubre de 2021,"Gracias Tommy, súper felices de que te haya gustado tanto, Nos veremos otra  vez espero! Un abrazo.",Escrita el 5 de octubre de 2021,Diego Benedetto,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.","Madrid, España",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/d1/25/10/tommy-m.jpg?w=100&h=-1&s=1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,,2,,
1776265502-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,Nos ha encantado,yolanda g,"Un lugar encantador, con una comida deliciosa y hecha con mimo. Tomamos una ensalada de pollo riquísima ( con mucho pollo, cebolla caramelizada, mezclum...). La empanada de carne, muy buena, así como la tosta de brie y anchoa. Las croquetas de chipirones, muy ricas 
La camarera,  muy amable, y el precio muy bien también. Para volver, sin duda.",11 contribuciones,11,Escrita el 31 de agosto de 2021,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,11 contribuciones,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg?w=100&h=-1&s=1,,,Leer más,,,2,,
1776265502-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,Calidad y calidez,daniela r,"Un lugar cálido, con buena comida, buena atención y variada carta de comida y vinos. Se puede pasar un momento agradable y tranquilo en el mejor barrio de Madrid.",1 contribución,1,Escrita el 25 de agosto de 2021,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,1 contribución,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,,,Leer más,,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",2,,
1776265502-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,Un lugar tranquilo.,PABLO A,"Recomiendo las PIZZAS, aunque el menú es variado, no he probado otros platos aún; buena situación y buenos precios, en el centro de Madrid. 🖖",1 contribución,1,Escrita el 22 de agosto de 2021,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,1 contribución,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/99/default-avatar-2020-57.jpg?w=100&h=-1&s=1,,,Leer más,,,1,,
1776265502-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,calidad y buen servicio,mercuriano,Comida sencilla muy sabrosa y a buen precio. Las pizzas y las empanadas me gustaron mucho. Contento.,2 contribuciones,2,Escrita el 10 de agosto de 2021,,,,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,2 contribuciones,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",1,,
1776265502-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,Repetiremos,Mónica,"Sitio acogedor en la zona del paseo del prado, perfecto para comer o cenar. Nos atendieron genial, en todo momento. En cuanto a la comida, de primera calidad y riquísimo sabor, además por un precio muy asequible y competitivo.",1 contribución,1,Escrita el 4 de agosto de 2021,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,1 contribución,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/9c/default-avatar-2020-14.jpg?w=100&h=-1&s=1,,,Leer más,,,1,,
1776265502-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,Calidad precio lo mejor,Michelle05,Un sitio perfecto para compartir con tus amigos calidad precio de lo mejor las empanada buenísimas y unas pizzas q se te cae la baba lo recomiendo volvería una y otra vez atención perfecta 😊,1 contribución,1,Escrita el 31 de julio de 2021,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Madrid, España",,,,,Leer más,,,1,,
1776265502-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,"Lindo lugar, buena propuesta de raciones y precios",CarlosAR,"Pasamos un mediodia por el barrio de Malasania, estaba vacio y nos sorprendio, pero al mediodia la actividad baja en esa zona. Linda propuesta de servicios y comida",416 contribuciones,416,Escrita el 18 de julio de 2021,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Buenos Aires, Argentina",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/bc/28/16/jcarlos374.jpg?w=100&h=-1&s=1,,,Leer más,,,0,,
1776265502-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,Riquísimo,Oswaldo C,"Riquísimo!! Las Tostas y empanadas estaban deliciosas, el servicio fue muy amable, vale muchísimo la pena, considerar que es un lugar pequeño pero no se lo pueden perder.",2 contribuciones,2,Escrita el 1 de julio de 2021,Muchas gracias Oswaldo! Cuando quieras.,Escrita el 3 de julio de 2021,Diego Benedetto,,,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",2 contribuciones,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/3f/0e/0c/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,Leer más,,1,,
1776265502-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,Repetiremos,Paco O,"Un sitio agradable,buen servicio y empanadas ,tostas buenísimas y sin olvidar las pizzas , la pizza diavola increíble .Un sitio para repetir todo perfecto",3 contribuciones,3,Escrita el 30 de abril de 2021,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,3 contribuciones,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,,Leer más,,,2,,
1776265502-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d12500357-Reviews-Tinto_Y_Tapas_Principe-Madrid.html,SORPRENDENTE,Carlos J,Carta reducida con platos muy buenos. Probamos las tostas y las empanadas. Muy buenas. Volveremos porque además no fue nada caro.,10 contribuciones,10,Escrita el 22 de febrero de 2021,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Madrid, España",,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,,,Leer más,,,2,,
