web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,image,image2,image3,image4,image5,image6,data15,data16,data17,data18,data19,data20
1775832122-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d1222048-Reviews-Restaurante_La_Malontina-Madrid.html,Gran descubrimiento,alvarofr86,"Restaurante pequeño pero matón. El menú es pequeño pero tienen opciones fuera de carta. Probamos un tataki de lomo bajo que era espectacular. También un dim sun que había fuera de carta que estaba muy bueno. 
El servicio es muy bueno también, solo había un camarero pero muy majo y servicial.
Sin duda volveremos a probar el resto de la carta, ha sido un gran descubrimiento!",6 contribuciones,6.0,Escrita el 12 de septiembre de 2021,"Madrid, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,,,,,,,,
1775832109-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d1222048-Reviews-Restaurante_La_Malontina-Madrid.html,Espectacular,Silvia D,"Fuimos a este sitio porque estaba cerca de nuestro airbnb, tiene pocas mesas y es super pequeño el sitio, pero la comida es totalmente casera y el servicio es buenísimo.  Relación calidad precio magnifica. Recomiendo muchísimo el sitio.  BRUTAL!",8 contribuciones,8.0,Escrita el 1 de octubre de 2022,8 contribuciones,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/58/24/8b/silviadu2494hp.jpg?w=100&h=-1&s=1,,,,,,
1775832109-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d1222048-Reviews-Restaurante_La_Malontina-Madrid.html,CARO y RUIDOSO,Roma D,"Viernes noche. Tres primeros platos y botella de vino blanco. 65€ dos personas,  es bastante caro. 
1-Puerros confitados c/romesco:
Tres puerros enanos y ordinarios. (La salsa buena) 
Nada recomendables! 
2-Alcachofas confitadas:
Sosísimas, insípidas. Sin sabor a alcachofa.... 
3-Croquetas de pato confitado:
Estas están ricas.
Nos fuimos sin tomar postre porque el ruido era ensordecedor y apenas podíamos oirnos.
Creo q no deben reservar una mesa de 12 personas en un sitio tan pequeño, q ya de por sí es ruidoso, al menos en fin de semana, porque no es respetuoso con los demás comensales.",3 contribuciones,3.0,Escrita el 1 de octubre de 2022,"Andalucía, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/5a/default-avatar-2020-36.jpg?w=100&h=-1&s=1,,,,,,
1775832109-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d1222048-Reviews-Restaurante_La_Malontina-Madrid.html,Una joya escondida en Madrid,Calalzo,"Comida deliciosa, servicio muy bueno. De los mejores platos que he comido. Una costilla de ternera cocinada a la perfección.",3 contribuciones,3.0,Escrita el 13 de septiembre de 2022,"Chicago, Illinois",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,,,,,,
1775832109-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d1222048-Reviews-Restaurante_La_Malontina-Madrid.html,croquetas de bogavante...,atrapapichones,"Pequeño gran restaurante en el Barrio de las artes madrileño. Fui con la idea de tomar el menú del día, aunque el relato del cocinero de los platos fuera de carta, casi me hace cambiar de opinión. Entre otros proponía unas croquetas de bogavante que no me resistí a probar... Riquísimas, cremosisimas, con todo el sabor (2,5 €/ud). Proseguí con el menú del día, con 3 propuestas por etapa, de las que seleccione una honesta ensaladilla rusa, un pollo vietnamita con cebolla roja y espinacas delicioso y un postre de melón con zumo de limón muy agradable en estos días de tantísimo calor. El precio del menú, incluyendo la bebida 16,80€. Volveré con toda seguridad.",1894 contribuciones,1894.0,Escrita el 4 de agosto de 2022,"Vitoria-Gasteiz, España","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/16/a0/75/salon.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/16/a0/7a/melon-con-limon.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/16/a0/83/ensaladilla.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/16/a0/87/pato.jpg?w=300&h=300&s=1,,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/01/9d/fb/b4/atrapapichones.jpg?w=100&h=-1&s=1,,,,,,
1775832109-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d1222048-Reviews-Restaurante_La_Malontina-Madrid.html,Comida de 10 en un ambiente muy acogedor,Emma,"Fuimos hace poco mi padre mi hermano y yo e hicimos el menú de 16€ los tres. En general todo estaba buenísimo, comida de muy buena calidad. Para destacar creo conveniente mencionar el pulpo con guacamole y patata, estaba realmente delicioso. Yo pedí de primero un salmorejo muy bueno y de principal un pollo al estilo tailandés, que sin duda repetiría mil veces más. Mi padre y mi hermano también quedaron muy satisfechos con sus elecciones. Me gustó la ensaladilla rusa que probé del menú de ellos. 
A más a más me gustaría destacar el trato del personal. Nos atendió una mujer muy atenta y simpática
En cuanto al sitio, aún siendo muy pequeño, es muy acogedor y cuando estuvimos comiendo no había mucha gente, así que estuvimos tranquilos
Sin duda cuando volvamos a Madrid repetiremos!",4 contribuciones,4.0,Escrita el 29 de julio de 2022,4 contribuciones,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,,,,,,
1775832109-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d1222048-Reviews-Restaurante_La_Malontina-Madrid.html,Sorprendente y para repetir muchas veces,Bruguers,"Comida espectacular, atención inmejorable. Sin duda, repetiré porque me sorprendió mucho y para bien. Cualquier cosa que pruebes, te va a gustar. Las alcachofas exquisitas, el arroz a la asturiana un escándalo. El sitio es pequeño, así que mejor reservar. De verdad que no defrauda. Si pudiera ponerle 10 estrellas, se las pondría.",25 contribuciones,25.0,Escrita el 11 de junio de 2022,"Sevilla, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/5c/80/06/bruguers.jpg?w=100&h=-1&s=1,,,,,,
1775832109-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d1222048-Reviews-Restaurante_La_Malontina-Madrid.html,Sorprendido,jeff l,"Pedimos 3 entradas y un plato principal (puerros, tomates, crab, y lasaña de pato). Sorprendentemente, ni los ingredientes básicos tenian buen sabor. Parecía que estaban experimentando con el combinar de especies, muy de principiantes.",5 contribuciones,5.0,Escrita el 30 de mayo de 2022,5 contribuciones,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,,,,,,
1775832109-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d1222048-Reviews-Restaurante_La_Malontina-Madrid.html,Un acierto,frguez,Pequeño restaurante con comida de calidad y excelente elaboración de los platos. Personal atento y el dueño pendiente en todo momento de que todo esté bien,105 contribuciones,105.0,Escrita el 27 de mayo de 2022,"Tenerife, España",,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,Leer más,,0,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,,,,,,
1775832109-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d1222048-Reviews-Restaurante_La_Malontina-Madrid.html,Platos muy sabrosos,David R,"La carta es muy variada y con unos platos estupendos, además ofrecen platos específicos fuera de carta que están espectaculares, fuimos 4 personas y todos salimos super satisfechos. Totalmente recomendable, para repetir.",65 contribuciones,65.0,Escrita el 19 de mayo de 2022,"Zaragoza, España",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/23/71/db/97/espectacular-costilla.jpg?w=300&h=300&s=1,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg?w=100&h=-1&s=1,,,,,,
