web_scraper_order,web_scraper_start_url,data,data2,data3,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,image,image2,image3,position,image4,image5,image6
1775743239-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,No hay palabras,Pedro P,"Las mejores hamburguesas que he probado. La shilton con queso azul.... Inenarrable. Servicio rápido y atento, lugar acogedor y céntrico. Para disfrutar con tranquilidad y en buena compañía.",10 contribuciones,Escrita el 9 de marzo de 2020,"Estepona, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/d0/default-avatar-2020-33.jpg?w=100&h=-1&s=1,,10.0,,,
1775743239-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,Lo conocimos de casualidad,Diana,Estábamos buscando un lugar para tomar unas cerves y picar algo dimos con este restaurante y la verdad nos ha encantado los camare@s súper simpáticos muy amables y nos recomendó una hamburguesa no me acuerdo si nombre pero tenia queso azul y la verdad que estaba súper rica os la recomiendo y recomiendo el lugar al 100% gracias 😊.,3 contribuciones,Escrita el 9 de marzo de 2020,3 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,,3.0,,,
1775743239-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,De las mejores hamburguesas de Madrid,Nerea,La materia prima es de buena calidad y la atención del personal inmejorable. Si tienes ganas de una buena hamburguesa te recomiendo que no te pierdas la smokin burguer.,82 contribuciones,Escrita el 8 de marzo de 2020,"Madrid, España",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/7c/01/default-avatar-2020-5.jpg?w=100&h=-1&s=1,,82.0,,,
1775743239-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,Muy buena hamburguesas en pleno centro de Madrid,Rafa,Estuvimos cenando en familia todo una sorpresa el trato fenomenal el sitio original y bien decorado y lo principal la comida excelente,10 contribuciones,Escrita el 6 de marzo de 2020,"Madrid, España",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/df/99/default-avatar-2020-40.jpg?w=100&h=-1&s=1,,10.0,,,
1775743239-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,Esta muy céntrico y muy agradable👍nos,ANTIDOTOESTUYO,Esta muy céntrico y muy agradable👍nos han atendido muy bien el sitio es tranquilo y las hamburguesas súper buenas,170 contribuciones,Escrita el 2 de marzo de 2020,"Sevilla, España",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/eb/6d/default-avatar-2020-19.jpg?w=100&h=-1&s=1,,170.0,,,
1775743239-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,Excelente,Francisco Javie... L,Segunda visita y segundo acierto. Trato excelente y comida riquísima. Tarta Guiness genial y Tarta Banoffee riquísima. Las hamburguesas geniales.,2 contribuciones,Escrita el 28 de febrero de 2020,2 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg?w=100&h=-1&s=1,,2.0,,,
1775743239-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,No podia haberme ido mejor,Jose Luis Sanchez,"El sitio es muy centrico y el local muy original. La comida es increible, las patatas casera con cheddar y bacon son las mejores que he probado y las hamburguesas de una calidad suprema. Por ultimo, el personal, de lo mas atento y correcto. Volvere SEGURO!!",22 contribuciones,Escrita el 27 de febrero de 2020,"Almería, España","Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/05/e3/5e/photo0jpg.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,,22.0,,,
1775743239-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,Muy buen servicio  y hamburguesa,Cristina G,"Buena calidad, precio y los camareros majisimos , para repetir, por poner una pega seria que merece un pan mejor.",4 contribuciones,Escrita el 25 de febrero de 2020,"Bilbao, España",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/2e/default-avatar-2020-67.jpg?w=100&h=-1&s=1,,4.0,,,
1775743239-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,Muy buena carne!,Carla V,"Pedimos unos nachos y 4 hamburguesas diferentes y los nachos generosos y buenisimos, igual que las hamburguesas. Lo mejor la carne y cocinada en su punto",2 contribuciones,Escrita el 23 de febrero de 2020,2 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Leer más,,0,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/fc/f6/6d/burnout.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/e4/default-avatar-2020-30.jpg?w=100&h=-1&s=1,,2.0,,,
1775743239-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,Gran descubrimiento,Aarón Rubio,"Hemos ido un grupo de amigos a cenar, visto que tenía buenas reseñas en TripAdvisor, y sin duda están justificadas. Local bonito, ambiente muy peculiar y original. 
Las hamburguesas estaban espectaculares. Se molestan en preguntarte el punto de la carne lo cual es de agradecer (es algo básico pero no en todos los sitios respetan esta norma). Todo super bueno. 
La atención fue de 10 desde el primer momento que entramos al local. Muy atentos y pendientes de cualquier cosa.
Un sitio para volver seguro.",9 contribuciones,Escrita el 22 de febrero de 2020,"Madrid, España",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/e8/11/d6/avatar.jpg?w=100&h=-1&s=1,,9.0,,,
1775743239-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,Trato excelente y comida de calidad,Andrea Oviedo,"La calidad de la comida es muy buena, hay opciones para las personas celiacas o con una dieta sin gluten. Con lo que respecta al precio, está muy bien. Es un lugar perfecto para ir con amigos.",1 contribución,Escrita el 19 de febrero de 2020,"Collado Villalba, España",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,,,,,,1.0,,,
1775743239-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,Comida y trato con excelente,Marilamby,"Fuimos con unos amigos a disfrutar de unas hamburguesas y nos llevamos mucho más que eso.
De entrantes probamos los nachos y las patatas fritas (de agradecer el aceite de la fritura, de calidad extraordinaria, lo cual se nota en el sabor de las patatas). Todo riquísimo y de tamaño considerable.

Las hamburguesas todas excelentes, la carne hecha al gusto de cada uno, sin errores (por lo general, en muchos sitios al pedirla al punto la sirven poco hecha y aquí no fue el caso).

Además, uno de los camareros (no sé si era el encargado, el gerente o no, pero seas quien seas, gracias!) se dio cuenta de que era el cumpleaños de una de las comensales y le invitó a un trozo de tarta (riquísima) que le trajo con una velita. Este detalle, además del trato excelente que tuvieron durante toda la velada, hizo que nos fuéramos de allí deseando repetir, habiendo disfrutado de una comida inolvidable.",28 contribuciones,Escrita el 18 de febrero de 2020,"Badajoz, España",,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",Leer más,,0,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/95/65/58/marilamby.jpg?w=100&h=-1&s=1,,28.0,,,
1775743239-15,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,Espectaculares hamburguesas,Alejandro C,"Hamburguesas muy completas y sabrosas, con abundante guarnición de patatas. Los postres espectaculares, sobretodo el batido de cookies.",4 contribuciones,Escrita el 17 de febrero de 2020,4 contribuciones,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0,,,,,,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg?w=100&h=-1&s=1,,4.0,,,
1775743223-1,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,Comida muy agradable,Lourdes P,No teníamos reserva pero enseguida nos hicieron hueco. El servicio de Los camareros muy amable y eficaz. La comida muy buena y cantidad. Recomendable,5 contribuciones,Escrita el 10 de octubre de 2021,5 contribuciones,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,Leer más,,0.0,,,,5.0,,,
1775743223-2,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,Sabrosa comida,mcr78,"Estupenda decoración con diferentes ambientes y tamaños de mesas. Local acogedor, hilo musical variado y con el volumen justo para distinguir las canciones sin que interfieran en la conversación. Carta compuesta principalmente por platos para compartir, hamburguesas y postres. Tienen menú infantil y buena selección de cervezas.
Pedimos una generosa ración de nachos con toppings variados, las hamburguesas con una carne muy sabrosa, la que es picante pica de verdad, nos quedamos con ganas de probar las vegetarianas que tenían una pinta fabulosa, las patatas fritas caseras en una generosa ración para cada plato y los postres deliciosos.
La camarera superamable aconsejándonos tanto la cantidad como por los sabores. El encargado pendiente de que todo estuviera a nuestro gusto.
Cercano a Gran Vía, sin el bullicio de la calle principal pero bien situado.
Bien merece una visita.",165 contribuciones,Escrita el 6 de octubre de 2021,madrid,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Leer más,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1f/35/d0/7e/nuggets-menu-infantil.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1f/35/d0/4a/nachos.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1f/35/d0/5e/hamburguesa-infantil.jpg?w=300&h=300&s=1,165.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1f/35/d0/35/limonada-casera.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-f/01/2e/70/8a/avatar011.jpg?w=100&h=-1&s=1,
1775743223-3,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,Impresionante hamburguesa,Ana A,"Pedimos una hamburguesa beyond meat y la IT (de carne). Las dos estaban en su punto, espectaculares, acompañadas de una buena ración de patatas fritas. En sí, a favor de las hamburguesas, ningún producto sobraba. Los sabores muy bien acompañados. El servicio rápido y agradable.",6 contribuciones,Escrita el 4 de septiembre de 2021,6 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,,,,6.0,,,
1775743223-4,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,Comida muy buena,Ma Jesús I,"No es la primera vez que vamos, y aunque la carta no es muy variada es de las mejores hamburgueserías a la que hemos ido. Eso sí, donde pone picante, es muy picante, o pica o no pica, no hay un punto medio.
Hoy lo único que no me ha gustado, ha sido que el encargado le ha gritado a la camarera delante de los que estábamos cenado, cuando ha sido él el que se ha equivocado trayendo a nuestra mesa el pedido que iba a otra mesa, es más, nosotros ya estábamos cenando cuándo esto ha sucedido.",21 contribuciones,Escrita el 26 de agosto de 2021,"Provincia de Guadalajara, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,,,,21.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/06/af/e1/ma-jesus-i.jpg?w=100&h=-1&s=1,
1775743223-5,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,Riquísimo!,Gemma R,"Mi chico y yo pasamos por la puerta y cuando vimos la pinta de las hamburguesas decidimos cenar ahí. La atención muy buena, nuestra camarera fue superamable 🥰 solo pedimos hamburguesa porque no teníamos, probamos la Burnout smokin y 🔥, muy muy rica. La ración de patatas es muy generosa. Volveré porque vi más cosas en la carta que me gustaron. Una casualidad genial!",12 contribuciones,Escrita el 22 de agosto de 2021,"Murcia, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,Leer más,,0.0,,,,12.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/a9/bb/b6/burnout.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/42/default-avatar-2020-20.jpg?w=100&h=-1&s=1,
1775743223-6,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,"Comida muy rica, excelente servicio",viajeroporelmundo26,"La comida muy rica y bien presentada, raciones generosas. Servicio rápido y agradable. La atención del camarero Rachid muy amable. Los postres muy buenos. Volveremos",2 contribuciones,Escrita el 15 de agosto de 2021,2 contribuciones,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,Leer más,,0.0,,,,2.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ea/74/default-avatar-2020-68.jpg?w=100&h=-1&s=1,
1775743223-7,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,Cena,sira,"Muy acogedor, los camareros muy amables, el local muy limpio y con sus medidas COVID he higiene. Con sus mascarillas puestas y sus guantes. La comida espectacular. Nos dejamos aconsejar y muy buena elección. Muchas gracias !!!! Un 10",7 contribuciones,Escrita el 8 de agosto de 2021,7 contribuciones,,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",2.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/8c/6a/fa/burnout.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/8c/6a/f7/burnout.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/8c/6a/f8/burnout.jpg?w=300&h=300&s=1,7.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/8c/6a/f5/burnout.jpg?w=300&h=300&s=1,,
1775743223-8,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,Súper recomendable!!,Ana A,"Tanto la comida como el trato es excelente. Increíble las hamburguesas. Recomiendo al 100% la Savoy special y la Smoking, algo especial ambas. Los entrantes son de buen tamaño, así que un acierto que puedas pedir medio entrante. Volveremos seguro.",2 contribuciones,Escrita el 17 de julio de 2021,2 contribuciones,,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,Leer más,,0.0,,,,2.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/5a/50/21/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/68/default-avatar-2020-9.jpg?w=100&h=-1&s=1,
1775743223-9,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,Increible!,Alfonso A. Ibarra,Increíble! La mejor hamburguesa de Madrid. Excelente servicio. Gran variedad de cervezas. Recomendada para veganos! Senhor Stilton y Holy Camoly!,9 contribuciones,Escrita el 6 de julio de 2021,9 contribuciones,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,,Leer más,,0.0,,,,9.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,
1775743223-10,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,ME ENCANTÓ EL LUGAR,ROSALIA V.,"Un restaurante muy céntrico, puedes ir a dar un paseo por el centro de la ciudad  y luego ir a comer en este lugar tan bonito, con una excelente atención por parte del servicio, realmente estoy muy contenta y se lo recomiendo a todo aquel que lo lea, sigan así.
Las camareras son súper serviles y simpáticas 😘.",4 contribuciones,Escrita el 3 de julio de 2021,4 contribuciones,"Hola Rosalía, muchísimas gracias por haberns visitado y, en especial, por habernos dedicado parte de tu tiempo para dejarnos una reseña, te quedamos muy agradecidos. Nos alegra el día leer que salió todo bien y tienes nuestra promesa de que haremos todo lo posible para seguir así y, en todo caso, de seguir mejorando que es nuestro objetivo. Saudos y gracias de nuevo del equipo Burnout!",Burnout_Burgers,Leer más,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.","Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",Escrita el 6 de julio de 2021,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/42/ac/e7/burnout.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/42/ac/e8/burnout.jpg?w=300&h=300&s=1,4.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/42/ac/e6/burnout.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/5a/69/8a/burnout-burgers.jpg?w=100&h=-1&s=1
1775743223-11,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,Hamburguesas brutales!!!!!!!,FranSanchez,He descubierto un local donde sus hamburguesas son brutales. He pedido su hamburguesa Burnaout (sin pepinillos) y la carne es increíble. Recomendables sus nachos con guacamole y sus alitas picantes. Este sitio por sus hamburguesas y su servicio (camareros atentos y simpáticos) pasa a mi lista corta de locales donde disfrutar de una buena comida.,2869 contribuciones,Escrita el 30 de junio de 2021,"Madrid, España","Hola Fran, tan sólo agradecerte tanto la visita como que te hayas tomado la molestia de dejarnos una reseña que nos ha alegrado el día, hacemos todo nuestro producto 100% casero con materia prima local de la mejor calidad y ver que hay gente que nota la diferencia da sentido a nuestro trabajo diario y nos motiva a seguir adelante. Saludos, gracias de nuevo, y estaremos encantados de volver a atenderte cuando quieras. Los Burnouts",Burnout_Burgers,Leer más,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,Escrita el 6 de julio de 2021,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,,0.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/3d/f0/90/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/3d/f0/8e/caption.jpg?w=300&h=300&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/3d/f0/8f/caption.jpg?w=300&h=300&s=1,2869.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/3d/f0/8d/caption.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/d7/7d/29/caption.jpg?w=100&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/5a/69/8a/burnout-burgers.jpg?w=100&h=-1&s=1
1775743223-12,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,Recomendado,Ana B,"Sitio acogedor. 
El guacamole es casero y esta muy bueno
El personal es encantador.
Animal friendly 
Buen ambiente

Recomendado",3 contribuciones,Escrita el 26 de junio de 2021,3 contribuciones,"Hola, tan sólo darte las gracias por visitarnos y por tu reseña, que en tiempos de Covid nos ayuda más que nunca a seguir peleando por salir adelante. Nos alegramos de que todo saliese bien y será un placer atenderte de nuevo cuando quieras. Saludos y gracias en nombre de todo el equipo.",Burnout_Burgers,Leer más,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,Escrita el 6 de julio de 2021,"Esta respuesta es la opinión subjetiva del representante de la dirección, no de Tripadvisor LLC.",Leer más,,1.0,,,,3.0,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/5a/69/8a/burnout-burgers.jpg?w=100&h=-1&s=1
1775743223-13,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,Fatal,yvan,"No merece la pena, caro y nada del otro mundo, uno nachos rancios y guacamole soso, hay sitios mucho mejor a menor precio",88 contribuciones,Escrita el 15 de diciembre de 2020,"Madrid, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,"Opinión obtenida en colaboración con este restaurante Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",,,Leer más,"Este negocio utiliza herramientas facilitadas por Tripadvisor (o uno de sus socios oficiales de recopilación de opiniones) para animar a los huéspedes a que escriban opiniones y recopilarlas, incluida esta.",0.0,,,,88.0,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/a6/68/32/avatar.jpg?w=100&h=-1&s=1,
1775743223-14,https://www.tripadvisor.es/Restaurant_Review-g187514-d11953286-Reviews-Burnout-Madrid.html,A domicilio también muy bien,Manolo’s Turkeys,"Pillamos una oferta para pedir a domicilio y genial. El pan de la hamburguesa venía un poco mojado, pero de sabor estaba tan buena como en el restaurante. De mis hamburguesas favoritas de Madrid.",2089 contribuciones,Escrita el 20 de julio de 2020,"Madrid, España",,,,,"Esta es la opinión subjetiva de un miembro de Tripadvisor, no de Tripadvisor LLC. Tripadvisor realiza comprobaciones de las opiniones.",,,,,Leer más,,0.0,,,,2089.0,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/96/d2/d6/photo0jpg.jpg?w=300&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/88/20/fe/caption.jpg?w=100&h=-1&s=1,
